policy,budget,top1,top3,top5,avg_at_5,combined_reduction,trace_row_reduction,metric_sample_reduction,time_reduction,where_reduction
adaptive_full_context,0.1,1,1,1,1.0,0.9827561883336685,0.9785587202626337,0.8817082874048254,0.6991658154579502,0.9
adaptive_full_context,0.25,0.41797752808988764,1,1,0.8256179775280899,0.9383782225252583,0.9350749696492788,0.8071541122128353,0.6241232550221314,0.7
adaptive_full_context,0.5,0.24943820224719102,0.6539325842696629,1,0.6420224719101124,0.762504410889993,0.7600620913224437,0.6401285217179543,0.40648621041879474,0.5
adaptive_no_alerted_service,0.1,0.06629213483146068,0.20786516853932585,0.37640449438202245,0.21235955056179776,0.9661583797069151,0.961655923154871,0.8829580386047182,0.6991658154579502,0.9
adaptive_no_alerted_service,0.25,0.06629213483146068,0.20786516853932585,0.37640449438202245,0.21303370786516854,0.9015094016976073,0.8975738438712149,0.8091687111995016,0.6241232550221314,0.7
adaptive_no_alerted_service,0.5,0.07752808988764046,0.23707865168539327,0.37640449438202245,0.22876404494382022,0.6639230754240922,0.6598814138083047,0.6467515626969758,0.40648621041879474,0.5
adaptive_no_fault_type,0.1,1,1,1,1.0,0.9827166047159082,0.9785186038521764,0.8816906831120795,0.6991658154579502,0.9
adaptive_no_fault_type,0.25,0.41685393258426967,1,1,0.8258426966292135,0.9384186171033262,0.9351160659431671,0.8076664461230647,0.6241232550221314,0.7
adaptive_no_fault_type,0.5,0.2573033707865168,0.6584269662921348,1,0.6413483146067416,0.762576433712133,0.7601340010963828,0.6405742328022636,0.40648621041879474,0.5
adaptive_no_time_window,0.1,1,1,1,1.0,0.9737257958036357,0.9696367321778355,0.8675832032296246,0.5409261150834184,0.9
adaptive_no_time_window,0.25,0.4202247191011236,1,1,0.8271910112359551,0.8831970506029132,0.8804949402904992,0.724386285064252,0.3113891726251277,0.7
adaptive_no_time_window,0.5,0.26179775280898876,0.650561797752809,1,0.6413483146067416,0.5221267266623928,0.5220315625440245,0.2905182329785577,-0.3772216547497446,0.5
