comparison,budget,metric,cases,replicates,seed,point_estimate,ci_low,ci_high
adaptive,0.25,avg_at_5,890,10000,94,0.8256179775280899,0.8146011235955055,0.836629213483146
adaptive,0.25,top1,890,10000,94,0.41797752808988764,0.3853932584269663,0.449438202247191
adaptive_minus_anchored_random,0.25,avg_at_5,890,10000,94,0.02152808988764044,0.011369662921348304,0.03173146067415728
adaptive,0.5,avg_at_5,890,10000,190,0.6420224719101123,0.6231460674157303,0.6602247191011235
adaptive,0.5,top1,890,10000,190,0.24943820224719102,0.22134831460674156,0.27752808988764044
adaptive_minus_anchored_random,0.5,avg_at_5,890,10000,190,0.021932584269662925,0.007234831460674159,0.03595617977528089
