policy,budget,avg_at_5,top1,top3,top5
adaptive_corrupted_anchor,0.25,0.8256179775280899,0.41797752808988764,1.0,1.0
adaptive_corrupted_anchor,0.5,0.6420224719101123,0.24943820224719102,0.6539325842696629,1.0
anchored_random_rest,0.25,0.8040898876404494,0.3431460674157304,1.0,1.0
anchored_random_rest,0.5,0.6200898876404495,0.21775280898876406,0.6332584269662922,1.0
full_reference,0.25,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
full_reference,0.5,0.34606741573033706,0.12808988764044943,0.35280898876404493,0.5516853932584269
random_multibudget,0.25,0.30215730337078656,0.09820224719101124,0.29955056179775286,0.5107865168539326
random_multibudget,0.5,0.31442696629213485,0.10719101123595506,0.3217977528089888,0.5092134831460674
