case_id,service,feature,score
dbservice1_memory_1625140467,mobservice2,net_out_err,0.0
dbservice1_memory_1625140467,mobservice2,trace_rows,0.0
dbservice1_memory_1625140467,mobservice2,mean_latency_ms,0.0
dbservice1_memory_1625140467,mobservice2,error_rows,0.0
dbservice1_memory_1625140467,dbservice1,cpu,0.6195074437688473
dbservice1_memory_1625140467,dbservice1,memory,2.7634854771771957
dbservice1_memory_1625140467,dbservice1,net_in_err,0.0
dbservice1_memory_1625140467,dbservice1,net_out_err,0.0
dbservice1_memory_1625140467,dbservice1,trace_rows,0.0
dbservice1_memory_1625140467,dbservice1,mean_latency_ms,0.0
dbservice1_memory_1625140467,dbservice1,error_rows,0.0
dbservice1_memory_1625140467,dbservice2,cpu,1.0107573799709415
dbservice1_memory_1625140467,dbservice2,memory,3.3227091633466137
dbservice1_memory_1625140467,dbservice2,net_in_err,0.0
dbservice1_memory_1625140467,dbservice2,net_out_err,0.0
dbservice1_memory_1625140467,dbservice2,trace_rows,0.0
dbservice1_memory_1625140467,dbservice2,mean_latency_ms,0.0
dbservice1_memory_1625140467,dbservice2,error_rows,0.0
dbservice1_memory_1625140467,redisservice1,cpu,3.7442945549119253
dbservice1_memory_1625140467,redisservice1,memory,3.143451143452665
dbservice1_memory_1625140467,redisservice1,net_in_err,0.0
dbservice1_memory_1625140467,redisservice1,net_out_err,0.0
dbservice1_memory_1625140467,redisservice1,trace_rows,0.0
dbservice1_memory_1625140467,redisservice1,mean_latency_ms,0.0
dbservice1_memory_1625140467,redisservice1,error_rows,0.0
dbservice1_memory_1625140467,redisservice2,cpu,1.6459746248479665
dbservice1_memory_1625140467,redisservice2,memory,3.522776572668113
dbservice1_memory_1625140467,redisservice2,net_in_err,0.0
dbservice1_memory_1625140467,redisservice2,net_out_err,0.0
dbservice1_memory_1625140467,redisservice2,trace_rows,0.0
dbservice1_memory_1625140467,redisservice2,mean_latency_ms,0.0
dbservice1_memory_1625140467,redisservice2,error_rows,0.0
dbservice1_memory_1625140467,logservice1,cpu,1.5291504276257268
dbservice1_memory_1625140467,logservice1,memory,3.5034482758615337
dbservice1_memory_1625140467,logservice1,net_in_err,0.0
dbservice1_memory_1625140467,logservice1,net_out_err,0.0
dbservice1_memory_1625140467,logservice1,trace_rows,0.0
dbservice1_memory_1625140467,logservice1,mean_latency_ms,0.0
dbservice1_memory_1625140467,logservice1,error_rows,0.0
dbservice1_memory_1625140467,logservice2,cpu,1.7934830353921292
dbservice1_memory_1625140467,logservice2,memory,3.337719298245614
dbservice1_memory_1625140467,logservice2,net_in_err,0.0
dbservice1_memory_1625140467,logservice2,net_out_err,0.0
dbservice1_memory_1625140467,logservice2,trace_rows,0.0
dbservice1_memory_1625140467,logservice2,mean_latency_ms,0.0
dbservice1_memory_1625140467,logservice2,error_rows,0.0
dbservice2_memory_1625144096,webservice1,cpu,0.17722656298678582
dbservice2_memory_1625144096,webservice1,memory,1.0949445129470086
dbservice2_memory_1625144096,webservice1,net_in_err,0.0
dbservice2_memory_1625144096,webservice1,net_out_err,0.0
dbservice2_memory_1625144096,webservice1,trace_rows,0.0
dbservice2_memory_1625144096,webservice1,mean_latency_ms,0.0
dbservice2_memory_1625144096,webservice1,error_rows,0.0
dbservice2_memory_1625144096,webservice2,cpu,0.08861582205229314
dbservice2_memory_1625144096,webservice2,memory,1.1078200908948106
dbservice2_memory_1625144096,webservice2,net_in_err,0.0
dbservice2_memory_1625144096,webservice2,net_out_err,0.0
dbservice2_memory_1625144096,webservice2,trace_rows,0.0
dbservice2_memory_1625144096,webservice2,mean_latency_ms,0.0
dbservice2_memory_1625144096,webservice2,error_rows,0.0
dbservice2_memory_1625144096,mobservice1,cpu,1.1418230861604117
dbservice2_memory_1625144096,mobservice1,memory,2.9437499999978582
dbservice2_memory_1625144096,mobservice1,net_in_err,0.0
dbservice2_memory_1625144096,mobservice1,net_out_err,0.0
dbservice2_memory_1625144096,mobservice1,trace_rows,0.0
dbservice2_memory_1625144096,mobservice1,mean_latency_ms,0.0
dbservice2_memory_1625144096,mobservice1,error_rows,0.0
dbservice2_memory_1625144096,mobservice2,cpu,1.671588986107454
dbservice2_memory_1625144096,mobservice2,memory,3.040540540538112
dbservice2_memory_1625144096,mobservice2,net_in_err,0.0
dbservice2_memory_1625144096,mobservice2,net_out_err,0.0
dbservice2_memory_1625144096,mobservice2,trace_rows,0.0
dbservice2_memory_1625144096,mobservice2,mean_latency_ms,0.0
dbservice2_memory_1625144096,mobservice2,error_rows,0.0
dbservice2_memory_1625144096,dbservice1,cpu,1.616891888944587
dbservice2_memory_1625144096,dbservice1,memory,3.8467432950182876
dbservice2_memory_1625144096,dbservice1,net_in_err,0.0
dbservice2_memory_1625144096,dbservice1,net_out_err,0.0
dbservice2_memory_1625144096,dbservice1,trace_rows,0.0
dbservice2_memory_1625144096,dbservice1,mean_latency_ms,0.0
dbservice2_memory_1625144096,dbservice1,error_rows,0.0
dbservice2_memory_1625144096,dbservice2,cpu,1.694689645163497
dbservice2_memory_1625144096,dbservice2,memory,1.0981012658227849
dbservice2_memory_1625144096,dbservice2,net_in_err,0.0
dbservice2_memory_1625144096,dbservice2,net_out_err,0.0
dbservice2_memory_1625144096,dbservice2,trace_rows,0.0
dbservice2_memory_1625144096,dbservice2,mean_latency_ms,0.0
dbservice2_memory_1625144096,dbservice2,error_rows,0.0
dbservice2_memory_1625144096,redisservice1,cpu,6.202273149732857
dbservice2_memory_1625144096,redisservice1,memory,2.977272727270758
dbservice2_memory_1625144096,redisservice1,net_in_err,0.0
dbservice2_memory_1625144096,redisservice1,net_out_err,0.0
dbservice2_memory_1625144096,redisservice1,trace_rows,0.0
dbservice2_memory_1625144096,redisservice1,mean_latency_ms,0.0
dbservice2_memory_1625144096,redisservice1,error_rows,0.0
dbservice2_memory_1625144096,redisservice2,cpu,1.070731725513695
dbservice2_memory_1625144096,redisservice2,memory,1.2706766917293233
dbservice2_memory_1625144096,redisservice2,net_in_err,0.0
dbservice2_memory_1625144096,redisservice2,net_out_err,0.0
dbservice2_memory_1625144096,redisservice2,trace_rows,0.0
dbservice2_memory_1625144096,redisservice2,mean_latency_ms,0.0
dbservice2_memory_1625144096,redisservice2,error_rows,0.0
dbservice2_memory_1625144096,logservice1,cpu,0.7417611722553524
dbservice2_memory_1625144096,logservice1,memory,4.3719676549865225
dbservice2_memory_1625144096,logservice1,net_in_err,0.0
dbservice2_memory_1625144096,logservice1,net_out_err,0.0
dbservice2_memory_1625144096,logservice1,trace_rows,0.0
dbservice2_memory_1625144096,logservice1,mean_latency_ms,0.0
dbservice2_memory_1625144096,logservice1,error_rows,0.0
dbservice2_memory_1625144096,logservice2,cpu,1.3056669974729667
dbservice2_memory_1625144096,logservice2,memory,0.002380679867231315
dbservice2_memory_1625144096,logservice2,net_in_err,0.0
dbservice2_memory_1625144096,logservice2,net_out_err,0.0
dbservice2_memory_1625144096,logservice2,trace_rows,0.0
dbservice2_memory_1625144096,logservice2,mean_latency_ms,0.0
dbservice2_memory_1625144096,logservice2,error_rows,0.0
redisservice1_memory_1625145523,webservice1,cpu,2.958053249836734
redisservice1_memory_1625145523,webservice1,memory,1.0680782010664382
redisservice1_memory_1625145523,webservice1,net_in_err,0.0
redisservice1_memory_1625145523,webservice1,net_out_err,0.0
redisservice1_memory_1625145523,webservice1,trace_rows,0.0
redisservice1_memory_1625145523,webservice1,mean_latency_ms,0.0
redisservice1_memory_1625145523,webservice1,error_rows,0.0
redisservice1_memory_1625145523,webservice2,cpu,0.5941499777804577
redisservice1_memory_1625145523,webservice2,memory,1.0402010050251123
redisservice1_memory_1625145523,webservice2,net_in_err,0.0
redisservice1_memory_1625145523,webservice2,net_out_err,0.0
redisservice1_memory_1625145523,webservice2,trace_rows,0.0
redisservice1_memory_1625145523,webservice2,mean_latency_ms,0.0
redisservice1_memory_1625145523,webservice2,error_rows,0.0
redisservice1_memory_1625145523,mobservice1,cpu,1.411049916033234
redisservice1_memory_1625145523,mobservice1,memory,3.9190283400856085
redisservice1_memory_1625145523,mobservice1,net_in_err,0.0
redisservice1_memory_1625145523,mobservice1,net_out_err,0.0
redisservice1_memory_1625145523,mobservice1,trace_rows,0.0
redisservice1_memory_1625145523,mobservice1,mean_latency_ms,0.0
redisservice1_memory_1625145523,mobservice1,error_rows,0.0
