fault_type,cases,top1,top3,top5,avg_at_5
cpu,15,0,0.2,0.4666666666666667,0.21333333333333335
errno111,20,0.15,0.35,0.5,0.34
file_move,43,0.18604651162790697,0.5581395348837209,0.8604651162790697,0.5674418604651162
memory,652,0.07208588957055215,0.29754601226993865,0.5138036809815951,0.2920245398773006
qr_expired,160,0.35625,0.6875,0.8,0.64125
