policy,budget,top1,top3,top5,avg_at_5,combined_reduction
anchored_service_random_rest,0.1,1,1,1,1.0,0.9832580534649299
anchored_service_random_rest,0.25,0.32134831460674157,1,1,0.7982022471910113,0.9360421582452909
anchored_service_random_rest,0.5,0.21685393258426966,0.6415730337078651,1,0.6256179775280899,0.7799034471651073
