policy,dataset,fault,budget,cases,top1,top3,top5,avg5,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
abnormality_service_diversity,RE2-OB,cpu,0.05,15,0.0,0.8,1.0,0.68,0.44302571996203344,0.9499860703974149,0.9171401526589118
abnormality_service_diversity,RE2-OB,cpu,0.1,15,0.06666666666666667,0.7333333333333333,1.0,0.68,0.41970633623060755,0.899966773818713,0.837973652533529
abnormality_service_diversity,RE2-OB,cpu,0.25,15,0.06666666666666667,0.7333333333333333,1.0,0.68,0.34975074456703564,0.7500213178002959,0.6042426530486751
abnormality_service_diversity,RE2-OB,cpu,0.5,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23316700329354717,0.5000369194928596,0.23914835170959936
abnormality_service_diversity,RE2-OB,cpu,1.0,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0,0.0
abnormality_service_diversity,RE2-OB,delay,0.05,15,0.2,0.6,0.8666666666666667,0.6133333333333334,0.45551261406103266,0.9499959492070775,0.9111224089677005
abnormality_service_diversity,RE2-OB,delay,0.1,15,0.2,0.4666666666666667,0.8666666666666667,0.56,0.4315430194212027,0.9000099911545482,0.8391955759363718
abnormality_service_diversity,RE2-OB,delay,0.25,15,0.2,0.4666666666666667,0.9333333333333333,0.5466666666666667,0.35961687631139083,0.7499977109071058,0.6095360050730901
abnormality_service_diversity,RE2-OB,delay,0.5,15,0.2,0.4,0.9333333333333333,0.56,0.2397377621188352,0.5000012398733285,0.24779242918067265
abnormality_service_diversity,RE2-OB,delay,1.0,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.0,0.0,0.0
abnormality_service_diversity,RE2-OB,disk,0.05,15,0.0,0.7333333333333333,1.0,0.6666666666666666,0.4653069930822955,0.949996731468197,0.9172012254366336
abnormality_service_diversity,RE2-OB,disk,0.1,15,0.06666666666666667,0.6666666666666666,1.0,0.6666666666666666,0.44081811950486843,0.8999979390068594,0.839009183118759
abnormality_service_diversity,RE2-OB,disk,0.25,15,0.2,0.8,1.0,0.7066666666666667,0.3673546545168708,0.7500036099896878,0.6027030241690178
abnormality_service_diversity,RE2-OB,disk,0.5,15,0.2,0.8,1.0,0.7200000000000001,0.24490548392511452,0.500001524894234,0.24884316119026376
