dataset,service,fault,instance,budget,policy,avg5_case_policy,top1_case_policy,top3_case_policy,top5_case_policy,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
RE2-OB,checkoutservice,cpu,1,0.5,latency_service_diversity,1.0,1.0,1.0,1.0,0.24919687930243228,0.5000418585182085,0.22488934373800695
RE2-OB,checkoutservice,cpu,1,0.5,latency_topk,1.0,1.0,1.0,1.0,0.24919687930243228,0.5000418585182085,0.22434181911219142
RE2-OB,checkoutservice,cpu,1,0.5,random,1.0,1.0,1.0,1.0,0.24919687930243226,0.5000418585182085,0.5008233337597543
RE2-OB,checkoutservice,cpu,1,0.5,service_aware_abnormality,1.0,1.0,1.0,1.0,0.24919687930243228,0.5000418585182085,0.23194575924267624
RE2-OB,checkoutservice,cpu,1,1.0,abnormality_service_diversity,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,1,1.0,abnormality_topk,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,1,1.0,coverage_aware,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,1,1.0,early_window,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,1,1.0,hybrid_abnormality_latency,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,1,1.0,late_window,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,1,1.0,latency_service_diversity,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,1,1.0,latency_topk,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,1,1.0,random,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,1,1.0,service_aware_abnormality,1.0,1.0,1.0,1.0,0.0,0.0,0.0
RE2-OB,checkoutservice,cpu,2,0.05,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.05090968426205433,0.9497716894977168,0.9251336898395722
RE2-OB,checkoutservice,cpu,2,0.05,abnormality_topk,0.8,0.0,1.0,1.0,0.05090968426205433,0.9497716894977168,0.9168356997971603
RE2-OB,checkoutservice,cpu,2,0.05,coverage_aware,0.8,0.0,1.0,1.0,0.05090968426205433,0.9497716894977168,0.9094597086483496
RE2-OB,checkoutservice,cpu,2,0.05,early_window,0.4,0.0,0.0,1.0,0.05090968426205433,0.9497716894977168,0.9427438687073576
RE2-OB,checkoutservice,cpu,2,0.05,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.05090968426205433,0.9497716894977168,0.9080767103079477
RE2-OB,checkoutservice,cpu,2,0.05,late_window,0.0,0.0,0.0,0.0,0.05090968426205433,0.9497716894977168,0.9621058454729854
RE2-OB,checkoutservice,cpu,2,0.05,latency_service_diversity,0.8,0.0,1.0,1.0,0.05090968426205433,0.9497716894977168,0.9188640973630832
RE2-OB,checkoutservice,cpu,2,0.05,latency_topk,0.8,0.0,1.0,1.0,0.05090968426205433,0.9497716894977168,0.9091831089802692
RE2-OB,checkoutservice,cpu,2,0.05,random,0.9,0.8,0.9,1.0,0.05090968426205433,0.9497716894977168,0.947243223308132
RE2-OB,checkoutservice,cpu,2,0.05,service_aware_abnormality,0.8,0.0,1.0,1.0,0.05090968426205433,0.9497716894977168,0.9168356997971603
RE2-OB,checkoutservice,cpu,2,0.1,abnormality_service_diversity,0.8,0.0,1.0,1.0,0.04821734519050336,0.8995433789954338,0.8568135718237138
RE2-OB,checkoutservice,cpu,2,0.1,abnormality_topk,0.8,0.0,1.0,1.0,0.04821734519050336,0.8995433789954338,0.8498063802323437
RE2-OB,checkoutservice,cpu,2,0.1,coverage_aware,0.8,0.0,1.0,1.0,0.04821734519050336,0.8995433789954338,0.827125207449751
RE2-OB,checkoutservice,cpu,2,0.1,early_window,0.4,0.0,0.0,1.0,0.04821734519050336,0.8995433789954338,0.8912041305550433
RE2-OB,checkoutservice,cpu,2,0.1,hybrid_abnormality_latency,0.8,0.0,1.0,1.0,0.04821734519050336,0.8995433789954338,0.828508205790153
RE2-OB,checkoutservice,cpu,2,0.1,late_window,1.0,1.0,1.0,1.0,0.04821734519050336,0.8995433789954338,0.9016227180527383
RE2-OB,checkoutservice,cpu,2,0.1,latency_service_diversity,0.8,0.0,1.0,1.0,0.04821734519050336,0.8995433789954338,0.8325650009219989
