policy,dataset,budget,cases,top1,top3,top5,avg5,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
abnormality_service_diversity,RE2-OB,0.05,90,0.05555555555555555,0.6111111111111112,0.9444444444444444,0.6111111111111112,0.4470481812750843,0.9499963634020686,0.9157320205865551
abnormality_service_diversity,RE2-OB,0.1,90,0.07777777777777778,0.5444444444444444,0.9444444444444444,0.5888888888888889,0.4235206998681022,0.8999987870487112,0.8376658843225636
abnormality_service_diversity,RE2-OB,0.25,90,0.12222222222222222,0.6,0.9555555555555556,0.6022222222222222,0.3529338526677322,0.7500006186261609,0.5981801736722637
abnormality_service_diversity,RE2-OB,0.5,90,0.13333333333333333,0.6333333333333333,0.9666666666666667,0.6288888888888889,0.23528845670863252,0.500000908053181,0.23792115071995434
abnormality_service_diversity,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
abnormality_service_diversity,RE2-TT,0.05,90,0.7444444444444445,0.9222222222222223,0.9666666666666667,0.8911111111111112,0.4629052460608675,0.9500036357053463,0.8832248737952679
abnormality_service_diversity,RE2-TT,0.1,90,0.7777777777777778,0.9222222222222223,0.9555555555555556,0.9066666666666666,0.4385419136035788,0.9000124047185504,0.7866882236191713
abnormality_service_diversity,RE2-TT,0.25,90,0.7888888888888889,0.9666666666666667,0.9666666666666667,0.9266666666666667,0.36542480677526207,0.749989954272672,0.5416133031969979
abnormality_service_diversity,RE2-TT,0.5,90,0.8333333333333334,0.9666666666666667,0.9888888888888889,0.948888888888889,0.2436300479689663,0.49997681763131196,0.206631735992635
abnormality_service_diversity,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
abnormality_topk,RE2-OB,0.05,90,0.044444444444444446,0.6111111111111112,0.9444444444444444,0.6111111111111112,0.4470481812750843,0.9499963634020686,0.9141879470951447
abnormality_topk,RE2-OB,0.1,90,0.06666666666666667,0.5777777777777777,0.9444444444444444,0.5955555555555556,0.4235206998681022,0.8999987870487112,0.83643827794077
abnormality_topk,RE2-OB,0.25,90,0.12222222222222222,0.6,0.9555555555555556,0.6022222222222222,0.3529338526677322,0.7500006186261609,0.5972041349981261
abnormality_topk,RE2-OB,0.5,90,0.13333333333333333,0.6333333333333333,0.9666666666666667,0.6288888888888889,0.23528845670863252,0.500000908053181,0.237439804306369
abnormality_topk,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
abnormality_topk,RE2-TT,0.05,90,0.6444444444444445,0.8111111111111111,0.8555555555555555,0.7822222222222223,0.4628937111321295,0.9500036357053463,0.8480756274195939
abnormality_topk,RE2-TT,0.1,90,0.7222222222222222,0.8555555555555555,0.8555555555555555,0.8266666666666668,0.43852868516606,0.9000124047185504,0.7433387193055732
abnormality_topk,RE2-TT,0.25,90,0.7777777777777778,0.9111111111111111,0.9222222222222223,0.8866666666666666,0.3654224588629755,0.749989954272672,0.5123587638636171
abnormality_topk,RE2-TT,0.5,90,0.8333333333333334,0.9666666666666667,0.9888888888888889,0.948888888888889,0.2436318129655888,0.49997681763131196,0.2031038562717903
abnormality_topk,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
coverage_aware,RE2-OB,0.05,90,0.07777777777777778,0.5444444444444444,0.9111111111111111,0.5466666666666667,0.44704998962826575,0.9499963634020686,0.9049229936831202
coverage_aware,RE2-OB,0.1,90,0.08888888888888889,0.5555555555555556,0.9,0.5644444444444445,0.4235220349184534,0.8999987870487112,0.8196601064001648
coverage_aware,RE2-OB,0.25,90,0.12222222222222222,0.5777777777777777,0.9555555555555556,0.6044444444444445,0.35293077782892585,0.7500006186261609,0.5799779977974028
coverage_aware,RE2-OB,0.5,90,0.13333333333333333,0.6111111111111112,0.9777777777777777,0.6266666666666667,0.23527608860161692,0.500000908053181,0.21498433308268797
coverage_aware,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
coverage_aware,RE2-TT,0.05,90,0.5555555555555556,0.7222222222222222,0.7222222222222222,0.6844444444444444,0.4629045638146892,0.9500036357053463,0.8866156969900196
coverage_aware,RE2-TT,0.1,90,0.5888888888888889,0.7222222222222222,0.7222222222222222,0.6955555555555556,0.438539678317251,0.9000124047185504,0.7834657178563345
coverage_aware,RE2-TT,0.25,90,0.5888888888888889,0.7222222222222222,0.7222222222222222,0.6955555555555556,0.36542808281293904,0.749989954272672,0.5561334977786865
coverage_aware,RE2-TT,0.5,90,0.6444444444444445,0.7888888888888889,0.8,0.7622222222222221,0.2436394066958775,0.49997681763131196,0.3000505359556717
coverage_aware,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
early_window,RE2-OB,0.05,90,0.17777777777777778,0.6555555555555556,0.9777777777777777,0.6333333333333333,0.4470965628688873,0.9499963634020686,0.9492317201505006
early_window,RE2-OB,0.1,90,0.15555555555555556,0.6555555555555556,0.9666666666666667,0.6311111111111112,0.4235672304639589,0.8999987870487112,0.8984758989766484
early_window,RE2-OB,0.25,90,0.13333333333333333,0.6444444444444445,0.9555555555555556,0.6222222222222222,0.35297034417073353,0.7500006186261609,0.7465193900718938
early_window,RE2-OB,0.5,90,0.13333333333333333,0.6333333333333333,0.9666666666666667,0.6222222222222222,0.23531188742427406,0.500000908053181,0.495355154768264
early_window,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
early_window,RE2-TT,0.05,90,0.8111111111111111,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.46307471737882366,0.9500036357053463,0.9525145531604757
early_window,RE2-TT,0.1,90,0.8111111111111111,0.9555555555555556,0.9555555555555556,0.9244444444444445,0.43870816053494877,0.9000124047185504,0.9034296573888513
early_window,RE2-TT,0.25,90,0.8222222222222222,0.9555555555555556,0.9777777777777777,0.9333333333333333,0.36558106339794577,0.749989954272672,0.7538318512207696
early_window,RE2-TT,0.5,90,0.8111111111111111,0.9666666666666667,0.9888888888888889,0.9422222222222222,0.24371348181550725,0.49997681763131196,0.5047449490194037
early_window,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
hybrid_abnormality_latency,RE2-OB,0.05,90,0.044444444444444446,0.6555555555555556,0.9333333333333333,0.6022222222222222,0.44704865741121913,0.9499963634020686,0.910747189491491
hybrid_abnormality_latency,RE2-OB,0.1,90,0.06666666666666667,0.5777777777777777,0.9333333333333333,0.5800000000000001,0.42352159093241115,0.8999987870487112,0.8263943514960747
hybrid_abnormality_latency,RE2-OB,0.25,90,0.08888888888888889,0.6111111111111112,0.9555555555555556,0.6,0.35293158712015604,0.7500006186261609,0.5827531084808005
hybrid_abnormality_latency,RE2-OB,0.5,90,0.1111111111111111,0.6111111111111112,0.9555555555555556,0.6177777777777778,0.23527798126004396,0.500000908053181,0.21433846743161686
hybrid_abnormality_latency,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
hybrid_abnormality_latency,RE2-TT,0.05,90,0.7444444444444445,0.9333333333333333,0.9555555555555556,0.8955555555555554,0.46288862491766586,0.9500036357053463,0.8791613000310048
hybrid_abnormality_latency,RE2-TT,0.1,90,0.7444444444444445,0.9333333333333333,0.9777777777777777,0.9044444444444445,0.43852376442663243,0.9000124047185504,0.7854738293699177
hybrid_abnormality_latency,RE2-TT,0.25,90,0.7888888888888889,0.9666666666666667,0.9888888888888889,0.9355555555555556,0.3654291543125322,0.749989954272672,0.5307769379058158
hybrid_abnormality_latency,RE2-TT,0.5,90,0.8222222222222222,0.9666666666666667,0.9888888888888889,0.9466666666666667,0.24364170205032842,0.49997681763131196,0.15441064350544045
hybrid_abnormality_latency,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
late_window,RE2-OB,0.05,90,0.1111111111111111,0.6,0.9111111111111111,0.5822222222222222,0.4470463720861156,0.9499963634020686,0.9509911889660739
late_window,RE2-OB,0.1,90,0.1111111111111111,0.6111111111111112,0.9555555555555556,0.5977777777777779,0.42351703968118726,0.8999987870487112,0.9011330316255374
late_window,RE2-OB,0.25,90,0.1111111111111111,0.6,0.9333333333333333,0.6,0.35292015338796184,0.7500006186261609,0.7534703985068288
late_window,RE2-OB,0.5,90,0.1111111111111111,0.6222222222222222,0.9333333333333333,0.6,0.23526169664150234,0.500000908053181,0.5046612171211631
late_window,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
late_window,RE2-TT,0.05,90,0.8111111111111111,0.9666666666666667,0.9777777777777777,0.9333333333333333,0.46288696827369524,0.9500036357053463,0.9499050785261015
late_window,RE2-TT,0.1,90,0.8444444444444444,0.9666666666666667,0.9666666666666667,0.9377777777777778,0.4385204114298204,0.9000124047185504,0.8983383709715164
late_window,RE2-TT,0.25,90,0.8555555555555555,0.9888888888888889,0.9888888888888889,0.9577777777777778,0.36539331429281735,0.749989954272672,0.7459477569224404
late_window,RE2-TT,0.5,90,0.8222222222222222,0.9888888888888889,0.9888888888888889,0.948888888888889,0.24352573271037883,0.49997681763131196,0.4950728549916677
late_window,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
latency_service_diversity,RE2-OB,0.05,90,0.03333333333333333,0.6888888888888889,0.9666666666666667,0.6266666666666667,0.4470500331770714,0.9499963634020686,0.9133562344498729
latency_service_diversity,RE2-OB,0.1,90,0.05555555555555555,0.6222222222222222,0.9555555555555556,0.5955555555555556,0.4235257289105862,0.8999987870487112,0.8296320250945859
latency_service_diversity,RE2-OB,0.25,90,0.12222222222222222,0.6222222222222222,0.9666666666666667,0.6155555555555555,0.3529371018379113,0.7500006186261609,0.5930803591252758
latency_service_diversity,RE2-OB,0.5,90,0.13333333333333333,0.6222222222222222,0.9555555555555556,0.6222222222222222,0.23529311369403413,0.500000908053181,0.23242845961599548
latency_service_diversity,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
latency_service_diversity,RE2-TT,0.05,90,0.7444444444444445,0.9444444444444444,0.9666666666666667,0.8977777777777778,0.4629074830284227,0.9500036357053463,0.8741576023353334
latency_service_diversity,RE2-TT,0.1,90,0.7888888888888889,0.9666666666666667,0.9666666666666667,0.9244444444444445,0.43854960629479356,0.9000124047185504,0.7927471344527389
latency_service_diversity,RE2-TT,0.25,90,0.8222222222222222,0.9777777777777777,0.9777777777777777,0.9466666666666667,0.3654631182941763,0.749989954272672,0.5827941106392578
latency_service_diversity,RE2-TT,0.5,90,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9533333333333333,0.24365798824659762,0.49997681763131196,0.2365526342422404
latency_service_diversity,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
latency_topk,RE2-OB,0.05,90,0.03333333333333333,0.6888888888888889,0.9666666666666667,0.6244444444444445,0.4470500331770714,0.9499963634020686,0.912536734882739
latency_topk,RE2-OB,0.1,90,0.05555555555555555,0.6111111111111112,0.9555555555555556,0.5933333333333333,0.42352620186470497,0.8999987870487112,0.8288160687465714
latency_topk,RE2-OB,0.25,90,0.12222222222222222,0.6222222222222222,0.9666666666666667,0.6155555555555555,0.3529371018379113,0.7500006186261609,0.5924286962864728
latency_topk,RE2-OB,0.5,90,0.13333333333333333,0.6222222222222222,0.9555555555555556,0.6222222222222222,0.23529311369403413,0.500000908053181,0.23187944070622982
latency_topk,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
latency_topk,RE2-TT,0.05,90,0.7444444444444445,0.9444444444444444,0.9555555555555556,0.9022222222222223,0.4628908057049301,0.9500036357053463,0.8667007479920116
latency_topk,RE2-TT,0.1,90,0.7777777777777778,0.9666666666666667,0.9666666666666667,0.9222222222222223,0.4385347179120692,0.9000124047185504,0.7871445737830425
latency_topk,RE2-TT,0.25,90,0.8111111111111111,0.9777777777777777,0.9777777777777777,0.9444444444444444,0.3654497557444717,0.749989954272672,0.579120114226031
latency_topk,RE2-TT,0.5,90,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9533333333333333,0.24365292712217707,0.49997681763131196,0.23360060779672104
latency_topk,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
random,RE2-OB,0.05,90,0.16,0.6288888888888889,0.9466666666666667,0.6164444444444445,0.44704992892438067,0.9499963634020686,0.9499915343140675
random,RE2-OB,0.1,90,0.15333333333333335,0.6322222222222222,0.9533333333333333,0.617111111111111,0.42352197286277565,0.8999987870487112,0.9000115592650696
random,RE2-OB,0.25,90,0.14222222222222222,0.6255555555555555,0.9633333333333334,0.6215555555555556,0.3529316206767191,0.7500006186261609,0.7499552183957162
random,RE2-OB,0.5,90,0.13,0.6433333333333333,0.9677777777777777,0.6264444444444445,0.23528505719963053,0.500000908053181,0.49998383530650736
random,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
random,RE2-TT,0.05,90,0.8288888888888888,0.9822222222222223,0.99,0.9502222222222222,0.462893920629708,0.9500036357053463,0.9504388383439318
random,RE2-TT,0.1,90,0.8300000000000001,0.9855555555555556,0.9944444444444445,0.9553333333333334,0.4385437191398576,0.9000124047185504,0.9005142532450664
random,RE2-TT,0.25,90,0.8355555555555556,0.9911111111111112,0.9944444444444445,0.9564444444444444,0.3654481191232053,0.749989954272672,0.7504413668907803
random,RE2-TT,0.5,90,0.8344444444444444,0.9833333333333333,0.9944444444444445,0.9542222222222222,0.24363116370513044,0.49997681763131196,0.4998035571318461
random,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
service_aware_abnormality,RE2-OB,0.05,90,0.044444444444444446,0.6111111111111112,0.9444444444444444,0.6088888888888889,0.4470481812750843,0.9499963634020686,0.9149936444315793
service_aware_abnormality,RE2-OB,0.1,90,0.06666666666666667,0.5444444444444444,0.9444444444444444,0.5866666666666667,0.4235206998681022,0.8999987870487112,0.8369893665851137
service_aware_abnormality,RE2-OB,0.25,90,0.12222222222222222,0.6,0.9555555555555556,0.6022222222222222,0.3529338526677322,0.7500006186261609,0.5976638038025981
service_aware_abnormality,RE2-OB,0.5,90,0.13333333333333333,0.6333333333333333,0.9666666666666667,0.6288888888888889,0.23528845670863252,0.500000908053181,0.23760539323569255
service_aware_abnormality,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,0.0,0.0,0.0
service_aware_abnormality,RE2-TT,0.05,90,0.7444444444444445,0.9222222222222223,0.9666666666666667,0.8911111111111112,0.46289201762334864,0.9500036357053463,0.8793150539503832
service_aware_abnormality,RE2-TT,0.1,90,0.7777777777777778,0.9333333333333333,0.9555555555555556,0.9088888888888889,0.43852868516606,0.9000124047185504,0.7826103768418758
service_aware_abnormality,RE2-TT,0.25,90,0.7888888888888889,0.9666666666666667,0.9666666666666667,0.9288888888888889,0.3654132708146832,0.749989954272672,0.5392339161622518
service_aware_abnormality,RE2-TT,0.5,90,0.8333333333333334,0.9666666666666667,0.9888888888888889,0.948888888888889,0.24362664323936573,0.49997681763131196,0.20540593586453076
service_aware_abnormality,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,0.0,0.0,0.0
