budget_type,dataset,budget,anom_span_reduction_abnormality_topk,anom_span_reduction_random,anom_span_reduction_service_aware_abnormality,anom_trace_reduction_abnormality_topk,anom_trace_reduction_random,anom_trace_reduction_service_aware_abnormality,avg5_abnormality_topk,avg5_random,avg5_service_aware_abnormality,top3_abnormality_topk,top3_random,top3_service_aware_abnormality,trace_reduction_abnormality_topk,trace_reduction_random,trace_reduction_service_aware_abnormality,avg5_gain_abnormality_vs_random,avg5_gain_service_aware_vs_random
span_fraction,RE2-OB,0.1,0.8999999815357652,0.8999999815357652,0.8999999815357652,0.9355136472481941,0.8994843158490904,0.9355116600260326,0.6022222222222222,0.6111111111111112,0.6022222222222222,0.6111111111111112,0.6222222222222222,0.6111111111111112,0.4451996621618426,0.42805286240283136,0.44519871636632935,-0.008888888888888946,-0.008888888888888946
span_fraction,RE2-OB,0.25,0.7500005385401819,0.7500005385401819,0.7500005385401819,0.8434486253390698,0.749806742644794,0.8434486253390698,0.5977777777777779,0.6222222222222222,0.5977777777777779,0.6111111111111112,0.6333333333333333,0.6111111111111112,0.4013885223931275,0.3568164901339341,0.4013885223931275,-0.02444444444444438,-0.02444444444444438
span_fraction,RE2-OB,0.5,0.5000003385109715,0.5000003385109715,0.5000003385109715,0.681310175571078,0.4995379708474509,0.681310175571078,0.6133333333333334,0.6244444444444445,0.6133333333333334,0.6222222222222222,0.6333333333333333,0.6222222222222222,0.32423052441523825,0.23770678636654685,0.32423052441523825,-0.011111111111111072,-0.011111111111111072
span_fraction,RE2-OB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.0,0.0,0.0,0.0,0.0
span_fraction,RE2-TT,0.1,0.9000001562683033,0.9000001562683033,0.9000001562683033,0.9551233515744146,0.8967004575222033,0.9536162196106576,0.8022222222222223,0.9733333333333333,0.7822222222222223,0.8333333333333334,1.0,0.8111111111111111,0.46356880885799157,0.435222887210447,0.46283877375009796,-0.171111111111111,-0.191111111111111
span_fraction,RE2-TT,0.25,0.7500000450773951,0.7500000450773951,0.7500000450773951,0.8658975509105589,0.7477958195030052,0.8645770162375527,0.8177777777777777,0.9733333333333333,0.8222222222222222,0.8333333333333334,1.0,0.8333333333333334,0.4202562963350147,0.3629511538562057,0.41961337758844486,-0.15555555555555556,-0.15111111111111108
span_fraction,RE2-TT,0.5,0.5000000601031935,0.5000000601031935,0.5000000601031935,0.724173320175832,0.4973607248587064,0.723096797344577,0.8622222222222221,0.9600000000000001,0.8666666666666667,0.8777777777777778,0.9888888888888889,0.8777777777777778,0.35145353648868793,0.24136110602932337,0.350930838320745,-0.09777777777777796,-0.09333333333333338
span_fraction,RE2-TT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.0,0.0,0.0,0.0,0.0
trace_fraction,RE2-OB,0.1,0.8390462804199038,0.8999066140550863,0.8390462804199038,0.9000029808332423,0.9000029808332423,0.9000029808332423,0.5955555555555556,0.6133333333333334,0.5955555555555556,0.5777777777777777,0.6222222222222222,0.5777777777777777,0.4283001879295685,0.42829971503181186,0.4283001879295685,-0.01777777777777778,-0.01777777777777778
trace_fraction,RE2-OB,0.25,0.6017870794301223,0.7496941553372687,0.6017870794301223,0.7499975159722981,0.7499975159722981,0.7499975159722981,0.6022222222222222,0.6222222222222222,0.6022222222222222,0.6,0.6333333333333333,0.6,0.35691721735610427,0.35690728650321424,0.35691721735610427,-0.020000000000000018,-0.020000000000000018
trace_fraction,RE2-OB,0.5,0.24304213778418227,0.49986481102748115,0.24304213778418227,0.49999503194459627,0.49999503194459627,0.49999503194459627,0.6288888888888889,0.6266666666666667,0.6288888888888889,0.6333333333333333,0.6444444444444445,0.6333333333333333,0.23794465393815067,0.2379243193346139,0.23794465393815067,0.0022222222222222365,0.0022222222222222365
trace_fraction,RE2-OB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.0,0.0,0.0,0.0,0.0
trace_fraction,RE2-TT,0.1,0.7236176881534983,0.8988841301183654,0.7262323573836864,0.9000089710235938,0.9000089710235938,0.9000089710235938,0.8266666666666668,0.9733333333333333,0.8266666666666668,0.8555555555555555,1.0,0.8555555555555555,0.4368118896409935,0.43682408593157884,0.4368118896409935,-0.1466666666666665,-0.1466666666666665
trace_fraction,RE2-TT,0.25,0.47715177096163486,0.7471508832374658,0.47835455607150146,0.7499919260787655,0.7499919260787655,0.7499919260787655,0.8866666666666666,0.9688888888888889,0.8866666666666666,0.9111111111111111,1.0,0.9111111111111111,0.36399306553763866,0.36401745811880926,0.36399306553763866,-0.08222222222222231,-0.08222222222222231
trace_fraction,RE2-TT,0.5,0.1611171584941049,0.496994419598786,0.16137070381621021,0.4999802637480937,0.4999802637480937,0.4999802637480937,0.948888888888889,0.9600000000000001,0.948888888888889,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.24268004773976604,0.24263300490465112,0.24268004773976604,-0.011111111111111072,-0.011111111111111072
trace_fraction,RE2-TT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.0,0.0,0.0,0.0,0.0
