dataset,service,fault,instance,budget_type,policy,budget,top1,top3,top5,avg5,full_trace_count,full_anomalous_trace_count,full_anomalous_span_count,kept_trace_count,kept_anomalous_trace_count,kept_anomalous_span_count
RE2-OB,checkoutservice,cpu,1,span_fraction,service_aware_abnormality,0.1,0.0,1.0,1.0,0.8,23969,11945,195425,12789,765,19542
RE2-OB,checkoutservice,cpu,1,span_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,23969,11945,195425,13909,1885,48856
RE2-OB,checkoutservice,cpu,1,span_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,23969,11945,195425,15700,3676,97712
RE2-OB,checkoutservice,cpu,1,span_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,23969,11945,195425,23969,11945,195425
RE2-OB,checkoutservice,delay,1,trace_fraction,random,0.1,1.0,1.0,1.0,1.0,24812,12281,200716,13759,1228,20175
RE2-OB,checkoutservice,delay,1,trace_fraction,random,0.25,1.0,1.0,1.0,1.0,24812,12281,200716,15601,3070,51028
RE2-OB,checkoutservice,delay,1,trace_fraction,random,0.5,1.0,1.0,1.0,1.0,24812,12281,200716,18671,6140,101466
RE2-OB,checkoutservice,delay,1,trace_fraction,random,1.0,1.0,1.0,1.0,1.0,24812,12281,200716,24812,12281,200716
RE2-OB,checkoutservice,delay,1,trace_fraction,abnormality_topk,0.1,1.0,1.0,1.0,1.0,24812,12281,200716,13759,1228,17315
RE2-OB,checkoutservice,delay,1,trace_fraction,abnormality_topk,0.25,1.0,1.0,1.0,1.0,24812,12281,200716,15601,3070,50102
RE2-OB,checkoutservice,delay,1,trace_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,24812,12281,200716,18671,6140,128088
RE2-OB,checkoutservice,delay,1,trace_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,24812,12281,200716,24812,12281,200716
RE2-OB,checkoutservice,delay,1,trace_fraction,service_aware_abnormality,0.1,1.0,1.0,1.0,1.0,24812,12281,200716,13759,1228,17315
RE2-OB,checkoutservice,delay,1,trace_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,24812,12281,200716,15601,3070,50102
RE2-OB,checkoutservice,delay,1,trace_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,24812,12281,200716,18671,6140,128088
RE2-OB,checkoutservice,delay,1,trace_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,24812,12281,200716,24812,12281,200716
RE2-OB,checkoutservice,delay,1,span_fraction,random,0.1,1.0,1.0,1.0,1.0,24812,12281,200716,13751,1220,20072
RE2-OB,checkoutservice,delay,1,span_fraction,random,0.25,1.0,1.0,1.0,1.0,24812,12281,200716,15559,3028,50179
RE2-OB,checkoutservice,delay,1,span_fraction,random,0.5,1.0,1.0,1.0,1.0,24812,12281,200716,18626,6095,100358
RE2-OB,checkoutservice,delay,1,span_fraction,random,1.0,1.0,1.0,1.0,1.0,24812,12281,200716,24812,12281,200716
RE2-OB,checkoutservice,delay,1,span_fraction,abnormality_topk,0.1,1.0,1.0,1.0,1.0,24812,12281,200716,14459,1928,20072
RE2-OB,checkoutservice,delay,1,span_fraction,abnormality_topk,0.25,1.0,1.0,1.0,1.0,24812,12281,200716,15604,3073,50179
RE2-OB,checkoutservice,delay,1,span_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,24812,12281,200716,17548,5017,100358
RE2-OB,checkoutservice,delay,1,span_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,24812,12281,200716,24812,12281,200716
RE2-OB,checkoutservice,delay,1,span_fraction,service_aware_abnormality,0.1,1.0,1.0,1.0,1.0,24812,12281,200716,14459,1928,20072
RE2-OB,checkoutservice,delay,1,span_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,24812,12281,200716,15604,3073,50179
RE2-OB,checkoutservice,delay,1,span_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,24812,12281,200716,17548,5017,100358
RE2-OB,checkoutservice,delay,1,span_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,24812,12281,200716,24812,12281,200716
RE2-OB,checkoutservice,cpu,3,trace_fraction,random,0.1,0.0,1.0,1.0,0.8,24721,12410,205555,13553,1241,20416
RE2-OB,checkoutservice,cpu,3,trace_fraction,random,0.25,0.0,1.0,1.0,0.8,24721,12410,205555,15414,3102,51304
RE2-OB,checkoutservice,cpu,3,trace_fraction,random,0.5,0.0,1.0,1.0,0.8,24721,12410,205555,18517,6205,102899
RE2-OB,checkoutservice,cpu,3,trace_fraction,random,1.0,0.0,1.0,1.0,0.8,24721,12410,205555,24721,12410,205555
RE2-OB,checkoutservice,cpu,3,trace_fraction,abnormality_topk,0.1,0.0,1.0,1.0,0.8,24721,12410,205555,13553,1241,33655
RE2-OB,checkoutservice,cpu,3,trace_fraction,abnormality_topk,0.25,0.0,1.0,1.0,0.8,24721,12410,205555,15414,3102,78967
RE2-OB,checkoutservice,cpu,3,trace_fraction,abnormality_topk,0.5,0.0,1.0,1.0,0.8,24721,12410,205555,18517,6205,153615
RE2-OB,checkoutservice,cpu,3,trace_fraction,abnormality_topk,1.0,0.0,1.0,1.0,0.8,24721,12410,205555,24721,12410,205555
RE2-OB,checkoutservice,cpu,3,trace_fraction,service_aware_abnormality,0.1,0.0,1.0,1.0,0.8,24721,12410,205555,13553,1241,33655
RE2-OB,checkoutservice,cpu,3,trace_fraction,service_aware_abnormality,0.25,0.0,1.0,1.0,0.8,24721,12410,205555,15414,3102,78967
RE2-OB,checkoutservice,cpu,3,trace_fraction,service_aware_abnormality,0.5,0.0,1.0,1.0,0.8,24721,12410,205555,18517,6205,153615
RE2-OB,checkoutservice,cpu,3,trace_fraction,service_aware_abnormality,1.0,0.0,1.0,1.0,0.8,24721,12410,205555,24721,12410,205555
RE2-OB,checkoutservice,cpu,3,span_fraction,random,0.1,0.0,1.0,1.0,0.8,24721,12410,205555,13571,1259,20556
RE2-OB,checkoutservice,cpu,3,span_fraction,random,0.25,0.0,1.0,1.0,0.8,24721,12410,205555,15424,3112,51389
RE2-OB,checkoutservice,cpu,3,span_fraction,random,0.5,0.0,1.0,1.0,0.8,24721,12410,205555,18517,6205,102778
RE2-OB,checkoutservice,cpu,3,span_fraction,random,1.0,0.0,1.0,1.0,0.8,24721,12410,205555,24721,12410,205555
RE2-OB,checkoutservice,cpu,3,span_fraction,abnormality_topk,0.1,0.0,1.0,1.0,0.8,24721,12410,205555,13044,732,20556
RE2-OB,checkoutservice,cpu,3,span_fraction,abnormality_topk,0.25,0.0,1.0,1.0,0.8,24721,12410,205555,14359,2047,51389
RE2-OB,checkoutservice,cpu,3,span_fraction,abnormality_topk,0.5,0.0,1.0,1.0,0.8,24721,12410,205555,16385,4073,102778
RE2-OB,checkoutservice,cpu,3,span_fraction,abnormality_topk,1.0,0.0,1.0,1.0,0.8,24721,12410,205555,24721,12410,205555
RE2-OB,checkoutservice,cpu,3,span_fraction,service_aware_abnormality,0.1,0.0,1.0,1.0,0.8,24721,12410,205555,13044,732,20556
RE2-OB,checkoutservice,cpu,3,span_fraction,service_aware_abnormality,0.25,0.0,1.0,1.0,0.8,24721,12410,205555,14359,2047,51389
RE2-OB,checkoutservice,cpu,3,span_fraction,service_aware_abnormality,0.5,0.0,1.0,1.0,0.8,24721,12410,205555,16385,4073,102778
RE2-OB,checkoutservice,cpu,3,span_fraction,service_aware_abnormality,1.0,0.0,1.0,1.0,0.8,24721,12410,205555,24721,12410,205555
RE2-OB,checkoutservice,delay,2,trace_fraction,random,0.1,1.0,1.0,1.0,1.0,24318,12022,198177,13500,1202,19598
RE2-OB,checkoutservice,delay,2,trace_fraction,random,0.25,1.0,1.0,1.0,1.0,24318,12022,198177,15304,3006,49775
RE2-OB,checkoutservice,delay,2,trace_fraction,random,0.5,1.0,1.0,1.0,1.0,24318,12022,198177,18309,6011,100731
RE2-OB,checkoutservice,delay,2,trace_fraction,random,1.0,1.0,1.0,1.0,1.0,24318,12022,198177,24318,12022,198177
RE2-OB,checkoutservice,delay,2,trace_fraction,abnormality_topk,0.1,1.0,1.0,1.0,1.0,24318,12022,198177,13498,1202,16074
RE2-OB,checkoutservice,delay,2,trace_fraction,abnormality_topk,0.25,1.0,1.0,1.0,1.0,24318,12022,198177,15302,3006,51036
RE2-OB,checkoutservice,delay,2,trace_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,24318,12022,198177,18307,6011,127541
RE2-OB,checkoutservice,delay,2,trace_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,24318,12022,198177,24318,12022,198177
RE2-OB,checkoutservice,delay,2,trace_fraction,service_aware_abnormality,0.1,1.0,1.0,1.0,1.0,24318,12022,198177,13498,1202,16074
RE2-OB,checkoutservice,delay,2,trace_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,24318,12022,198177,15302,3006,51036
RE2-OB,checkoutservice,delay,2,trace_fraction,service_aware_abnormality,0.5,1.0,1.0,1.0,1.0,24318,12022,198177,18307,6011,127541
RE2-OB,checkoutservice,delay,2,trace_fraction,service_aware_abnormality,1.0,1.0,1.0,1.0,1.0,24318,12022,198177,24318,12022,198177
RE2-OB,checkoutservice,delay,2,span_fraction,random,0.1,1.0,1.0,1.0,1.0,24318,12022,198177,13529,1231,19818
RE2-OB,checkoutservice,delay,2,span_fraction,random,0.25,1.0,1.0,1.0,1.0,24318,12022,198177,15296,2998,49544
RE2-OB,checkoutservice,delay,2,span_fraction,random,0.5,1.0,1.0,1.0,1.0,24318,12022,198177,18222,5924,99088
RE2-OB,checkoutservice,delay,2,span_fraction,random,1.0,1.0,1.0,1.0,1.0,24318,12022,198177,24318,12022,198177
RE2-OB,checkoutservice,delay,2,span_fraction,abnormality_topk,0.1,1.0,1.0,1.0,1.0,24318,12022,198177,14147,1851,19818
RE2-OB,checkoutservice,delay,2,span_fraction,abnormality_topk,0.25,1.0,1.0,1.0,1.0,24318,12022,198177,15267,2971,49544
RE2-OB,checkoutservice,delay,2,span_fraction,abnormality_topk,0.5,1.0,1.0,1.0,1.0,24318,12022,198177,17162,4866,99088
RE2-OB,checkoutservice,delay,2,span_fraction,abnormality_topk,1.0,1.0,1.0,1.0,1.0,24318,12022,198177,24318,12022,198177
RE2-OB,checkoutservice,delay,2,span_fraction,service_aware_abnormality,0.1,1.0,1.0,1.0,1.0,24318,12022,198177,14147,1851,19818
RE2-OB,checkoutservice,delay,2,span_fraction,service_aware_abnormality,0.25,1.0,1.0,1.0,1.0,24318,12022,198177,15267,2971,49544
