budget_type,dataset,fault,abnormality_topk,random,service_aware_abnormality,gain_abnormality_vs_random,gain_service_aware_vs_random
span_fraction,RE2-OB,cpu,0.68,0.68,0.68,0.0,0.0
span_fraction,RE2-OB,delay,0.6,0.5333333333333333,0.6,0.06666666666666665,0.06666666666666665
span_fraction,RE2-OB,disk,0.6533333333333334,0.7066666666666667,0.6533333333333334,-0.05333333333333323,-0.05333333333333323
span_fraction,RE2-OB,loss,0.4666666666666667,0.52,0.4666666666666667,-0.053333333333333344,-0.053333333333333344
span_fraction,RE2-OB,mem,0.6133333333333334,0.5866666666666667,0.6133333333333334,0.026666666666666727,0.026666666666666727
span_fraction,RE2-OB,socket,0.6,0.64,0.6,-0.040000000000000036,-0.040000000000000036
span_fraction,RE2-TT,cpu,0.7733333333333333,0.9600000000000001,0.8,-0.18666666666666676,-0.16000000000000003
span_fraction,RE2-TT,delay,1.0,1.0,0.9333333333333333,0.0,-0.06666666666666665
span_fraction,RE2-TT,disk,0.7733333333333333,0.9600000000000001,0.7200000000000001,-0.18666666666666676,-0.24
span_fraction,RE2-TT,loss,0.6533333333333334,1.0,0.6933333333333334,-0.34666666666666657,-0.30666666666666664
span_fraction,RE2-TT,mem,0.8266666666666667,0.9733333333333333,0.8133333333333332,-0.1466666666666666,-0.16000000000000003
span_fraction,RE2-TT,socket,0.7866666666666667,0.9466666666666667,0.7333333333333333,-0.15999999999999992,-0.21333333333333337
trace_fraction,RE2-OB,cpu,0.68,0.68,0.68,0.0,0.0
trace_fraction,RE2-OB,delay,0.5866666666666667,0.5333333333333333,0.5866666666666667,0.053333333333333344,0.053333333333333344
trace_fraction,RE2-OB,disk,0.6666666666666666,0.7200000000000001,0.6666666666666666,-0.053333333333333455,-0.053333333333333455
trace_fraction,RE2-OB,loss,0.4666666666666667,0.52,0.4666666666666667,-0.053333333333333344,-0.053333333333333344
trace_fraction,RE2-OB,mem,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.0,0.0
trace_fraction,RE2-OB,socket,0.5866666666666667,0.64,0.5866666666666667,-0.053333333333333344,-0.053333333333333344
trace_fraction,RE2-TT,cpu,0.7733333333333333,0.9600000000000001,0.7733333333333333,-0.18666666666666676,-0.18666666666666676
trace_fraction,RE2-TT,delay,1.0,1.0,1.0,0.0,0.0
trace_fraction,RE2-TT,disk,0.84,0.9600000000000001,0.84,-0.1200000000000001,-0.1200000000000001
trace_fraction,RE2-TT,loss,0.7066666666666667,1.0,0.7066666666666667,-0.29333333333333333,-0.29333333333333333
trace_fraction,RE2-TT,mem,0.8266666666666667,0.9733333333333333,0.8266666666666667,-0.1466666666666666,-0.1466666666666666
trace_fraction,RE2-TT,socket,0.8133333333333332,0.9466666666666667,0.8133333333333332,-0.13333333333333341,-0.13333333333333341
