budget_type,policy,dataset,budget,cases,top1,top3,top5,avg5,kept_trace_sum,full_trace_sum,kept_anom_trace_sum,full_anom_trace_sum,kept_anom_span_sum,full_anom_span_sum,trace_reduction,anom_trace_reduction,anom_span_reduction
span_fraction,abnormality_topk,RE2-OB,0.1,90,0.03333333333333333,0.6111111111111112,0.9333333333333333,0.6022222222222222,1173193,2114622,64901,1006430,1624763,16247627,0.4451996621618426,0.9355136472481941,0.8999999815357652
span_fraction,abnormality_topk,RE2-OB,0.25,90,0.08888888888888889,0.6111111111111112,0.9222222222222223,0.5977777777777779,1265837,2114622,157558,1006430,4061898,16247627,0.4013885223931275,0.8434486253390698,0.7500005385401819
span_fraction,abnormality_topk,RE2-OB,0.5,90,0.12222222222222222,0.6222222222222222,0.9555555555555556,0.6133333333333334,1428997,2114622,320739,1006430,8123808,16247627,0.32423052441523825,0.681310175571078,0.5000003385109715
span_fraction,abnormality_topk,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,2114622,2114622,1006430,1006430,16247627,16247627,0.0,0.0,0.0
span_fraction,abnormality_topk,RE2-TT,0.1,90,0.6777777777777778,0.8333333333333334,0.8666666666666667,0.8022222222222223,307882,573945,12506,278675,3327605,33276102,0.46356880885799157,0.9551233515744146,0.9000001562683033
span_fraction,abnormality_topk,RE2-TT,0.25,90,0.7111111111111111,0.8333333333333334,0.8666666666666667,0.8177777777777777,332741,573945,37371,278675,8319024,33276102,0.4202562963350147,0.8658975509105589,0.7500000450773951
span_fraction,abnormality_topk,RE2-TT,0.5,90,0.7444444444444445,0.8777777777777778,0.9111111111111111,0.8622222222222221,372230,573945,76866,278675,16638049,33276102,0.35145353648868793,0.724173320175832,0.5000000601031935
span_fraction,abnormality_topk,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,573945,573945,278675,278675,33276102,33276102,0.0,0.0,0.0
span_fraction,random,RE2-OB,0.1,90,0.15555555555555556,0.6222222222222222,0.9333333333333333,0.6111111111111112,1209452,2114622,101162,1006430,1624763,16247627,0.42805286240283136,0.8994843158490904,0.8999999815357652
span_fraction,random,RE2-OB,0.25,90,0.12222222222222222,0.6333333333333333,0.9555555555555556,0.6222222222222222,1360090,2114622,251802,1006430,4061898,16247627,0.3568164901339341,0.749806742644794,0.7500005385401819
span_fraction,random,RE2-OB,0.5,90,0.12222222222222222,0.6333333333333333,0.9666666666666667,0.6244444444444445,1611962,2114622,503680,1006430,8123808,16247627,0.23770678636654685,0.4995379708474509,0.5000003385109715
span_fraction,random,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,2114622,2114622,1006430,1006430,16247627,16247627,0.0,0.0,0.0
span_fraction,random,RE2-TT,0.1,90,0.8666666666666667,1.0,1.0,0.9733333333333333,324151,573945,28787,278675,3327605,33276102,0.435222887210447,0.8967004575222033,0.9000001562683033
span_fraction,random,RE2-TT,0.25,90,0.8777777777777778,1.0,1.0,0.9733333333333333,365631,573945,70283,278675,8319024,33276102,0.3629511538562057,0.7477958195030052,0.7500000450773951
span_fraction,random,RE2-TT,0.5,90,0.8333333333333334,0.9888888888888889,1.0,0.9600000000000001,435417,573945,140073,278675,16638049,33276102,0.24136110602932337,0.4973607248587064,0.5000000601031935
span_fraction,random,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,573945,573945,278675,278675,33276102,33276102,0.0,0.0,0.0
span_fraction,service_aware_abnormality,RE2-OB,0.1,90,0.03333333333333333,0.6111111111111112,0.9333333333333333,0.6022222222222222,1173195,2114622,64903,1006430,1624763,16247627,0.44519871636632935,0.9355116600260326,0.8999999815357652
span_fraction,service_aware_abnormality,RE2-OB,0.25,90,0.08888888888888889,0.6111111111111112,0.9222222222222223,0.5977777777777779,1265837,2114622,157558,1006430,4061898,16247627,0.4013885223931275,0.8434486253390698,0.7500005385401819
span_fraction,service_aware_abnormality,RE2-OB,0.5,90,0.12222222222222222,0.6222222222222222,0.9555555555555556,0.6133333333333334,1428997,2114622,320739,1006430,8123808,16247627,0.32423052441523825,0.681310175571078,0.5000003385109715
span_fraction,service_aware_abnormality,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,2114622,2114622,1006430,1006430,16247627,16247627,0.0,0.0,0.0
span_fraction,service_aware_abnormality,RE2-TT,0.1,90,0.6444444444444445,0.8111111111111111,0.8555555555555555,0.7822222222222223,308301,573945,12926,278675,3327605,33276102,0.46283877375009796,0.9536162196106576,0.9000001562683033
span_fraction,service_aware_abnormality,RE2-TT,0.25,90,0.7111111111111111,0.8333333333333334,0.8777777777777778,0.8222222222222222,333110,573945,37739,278675,8319024,33276102,0.41961337758844486,0.8645770162375527,0.7500000450773951
span_fraction,service_aware_abnormality,RE2-TT,0.5,90,0.7444444444444445,0.8777777777777778,0.9222222222222223,0.8666666666666667,372530,573945,77166,278675,16638049,33276102,0.350930838320745,0.723096797344577,0.5000000601031935
span_fraction,service_aware_abnormality,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,573945,573945,278675,278675,33276102,33276102,0.0,0.0,0.0
trace_fraction,abnormality_topk,RE2-OB,0.1,90,0.06666666666666667,0.5777777777777777,0.9444444444444444,0.5955555555555556,1208929,2114622,100640,1006430,2615116,16247627,0.4283001879295685,0.9000029808332423,0.8390462804199038
trace_fraction,abnormality_topk,RE2-OB,0.25,90,0.12222222222222222,0.6,0.9555555555555556,0.6022222222222222,1359877,2114622,251610,1006430,6470015,16247627,0.35691721735610427,0.7499975159722981,0.6017870794301223
trace_fraction,abnormality_topk,RE2-OB,0.5,90,0.13333333333333333,0.6333333333333333,0.9666666666666667,0.6288888888888889,1611459,2114622,503220,1006430,12298769,16247627,0.23794465393815067,0.49999503194459627,0.24304213778418227
trace_fraction,abnormality_topk,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,2114622,2114622,1006430,1006430,16247627,16247627,0.0,0.0,0.0
trace_fraction,abnormality_topk,RE2-TT,0.1,90,0.7222222222222222,0.8555555555555555,0.8555555555555555,0.8266666666666668,323239,573945,27865,278675,9196926,33276102,0.4368118896409935,0.9000089710235938,0.7236176881534983
trace_fraction,abnormality_topk,RE2-TT,0.25,90,0.7777777777777778,0.9111111111111111,0.9222222222222223,0.8866666666666666,365033,573945,69671,278675,17398351,33276102,0.36399306553763866,0.7499919260787655,0.47715177096163486
trace_fraction,abnormality_topk,RE2-TT,0.5,90,0.8333333333333334,0.9666666666666667,0.9888888888888889,0.948888888888889,434660,573945,139343,278675,27914751,33276102,0.24268004773976604,0.4999802637480937,0.1611171584941049
trace_fraction,abnormality_topk,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,573945,573945,278675,278675,33276102,33276102,0.0,0.0,0.0
trace_fraction,random,RE2-OB,0.1,90,0.15555555555555556,0.6222222222222222,0.9333333333333333,0.6133333333333334,1208930,2114622,100640,1006430,1626280,16247627,0.42829971503181186,0.9000029808332423,0.8999066140550863
trace_fraction,random,RE2-OB,0.25,90,0.12222222222222222,0.6333333333333333,0.9555555555555556,0.6222222222222222,1359898,2114622,251610,1006430,4066876,16247627,0.35690728650321424,0.7499975159722981,0.7496941553372687
trace_fraction,random,RE2-OB,0.5,90,0.12222222222222222,0.6444444444444445,0.9666666666666667,0.6266666666666667,1611502,2114622,503220,1006430,8126010,16247627,0.2379243193346139,0.49999503194459627,0.49986481102748115
trace_fraction,random,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,2114622,2114622,1006430,1006430,16247627,16247627,0.0,0.0,0.0
trace_fraction,random,RE2-TT,0.1,90,0.8666666666666667,1.0,1.0,0.9733333333333333,323232,573945,27865,278675,3364742,33276102,0.43682408593157884,0.9000089710235938,0.8988841301183654
trace_fraction,random,RE2-TT,0.25,90,0.8666666666666667,1.0,1.0,0.9688888888888889,365019,573945,69671,278675,8413833,33276102,0.36401745811880926,0.7499919260787655,0.7471508832374658
trace_fraction,random,RE2-TT,0.5,90,0.8333333333333334,0.9888888888888889,1.0,0.9600000000000001,434687,573945,139343,278675,16738065,33276102,0.24263300490465112,0.4999802637480937,0.496994419598786
trace_fraction,random,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,573945,573945,278675,278675,33276102,33276102,0.0,0.0,0.0
trace_fraction,service_aware_abnormality,RE2-OB,0.1,90,0.06666666666666667,0.5777777777777777,0.9444444444444444,0.5955555555555556,1208929,2114622,100640,1006430,2615116,16247627,0.4283001879295685,0.9000029808332423,0.8390462804199038
trace_fraction,service_aware_abnormality,RE2-OB,0.25,90,0.12222222222222222,0.6,0.9555555555555556,0.6022222222222222,1359877,2114622,251610,1006430,6470015,16247627,0.35691721735610427,0.7499975159722981,0.6017870794301223
trace_fraction,service_aware_abnormality,RE2-OB,0.5,90,0.13333333333333333,0.6333333333333333,0.9666666666666667,0.6288888888888889,1611459,2114622,503220,1006430,12298769,16247627,0.23794465393815067,0.49999503194459627,0.24304213778418227
trace_fraction,service_aware_abnormality,RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445,2114622,2114622,1006430,1006430,16247627,16247627,0.0,0.0,0.0
trace_fraction,service_aware_abnormality,RE2-TT,0.1,90,0.7222222222222222,0.8555555555555555,0.8555555555555555,0.8266666666666668,323239,573945,27865,278675,9109920,33276102,0.4368118896409935,0.9000089710235938,0.7262323573836864
trace_fraction,service_aware_abnormality,RE2-TT,0.25,90,0.7777777777777778,0.9111111111111111,0.9222222222222223,0.8866666666666666,365033,573945,69671,278675,17358327,33276102,0.36399306553763866,0.7499919260787655,0.47835455607150146
trace_fraction,service_aware_abnormality,RE2-TT,0.5,90,0.8333333333333334,0.9666666666666667,0.9888888888888889,0.948888888888889,434660,573945,139343,278675,27906314,33276102,0.24268004773976604,0.4999802637480937,0.16137070381621021
trace_fraction,service_aware_abnormality,RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556,573945,573945,278675,278675,33276102,33276102,0.0,0.0,0.0
