policy,budget,anchor_corruption,repetition,actual_anchor_corruption,avg_at_5,top1,top3,top5
adaptive_corrupted_anchor,0.25,0.0,0,0,0.8256179775280899,0.41797752808988764,1,1
adaptive_corrupted_anchor,0.25,0.0,1,0,0.8256179775280899,0.41797752808988764,1,1
adaptive_corrupted_anchor,0.25,0.0,2,0,0.8256179775280899,0.41797752808988764,1,1
adaptive_corrupted_anchor,0.25,0.0,3,0,0.8256179775280899,0.41797752808988764,1,1
adaptive_corrupted_anchor,0.25,0.0,4,0,0.8256179775280899,0.41797752808988764,1,1
adaptive_corrupted_anchor,0.25,0.1,0,0.09438202247191012,0.7640449438202247,0.3808988764044944,0.9213483146067416,0.9393258426966292
adaptive_corrupted_anchor,0.25,0.1,1,0.10224719101123596,0.7689887640449439,0.3943820224719101,0.9224719101123595,0.9415730337078652
adaptive_corrupted_anchor,0.25,0.1,2,0.09887640449438202,0.7667415730337078,0.3831460674157303,0.9224719101123595,0.9382022471910112
adaptive_corrupted_anchor,0.25,0.1,3,0.1101123595505618,0.7604494382022472,0.3797752808988764,0.9134831460674158,0.9393258426966292
adaptive_corrupted_anchor,0.25,0.1,4,0.10337078651685393,0.7631460674157303,0.37640449438202245,0.9213483146067416,0.9382022471910112
adaptive_corrupted_anchor,0.25,0.2,0,0.2,0.7101123595505618,0.34606741573033706,0.8471910112359551,0.8876404494382022
adaptive_corrupted_anchor,0.25,0.2,1,0.1943820224719101,0.710561797752809,0.36292134831460676,0.848314606741573,0.8842696629213483
adaptive_corrupted_anchor,0.25,0.2,2,0.21235955056179776,0.7042696629213483,0.3539325842696629,0.8415730337078652,0.8764044943820225
adaptive_corrupted_anchor,0.25,0.2,3,0.19101123595505617,0.7042696629213483,0.3471910112359551,0.8449438202247191,0.8752808988764045
adaptive_corrupted_anchor,0.25,0.2,4,0.20561797752808988,0.706067415730337,0.3449438202247191,0.8426966292134831,0.8853932584269663
adaptive_corrupted_anchor,0.25,0.3,0,0.30112359550561796,0.6397752808988764,0.30786516853932583,0.7629213483146068,0.8101123595505618
adaptive_corrupted_anchor,0.25,0.3,1,0.31797752808988766,0.6352808988764045,0.30112359550561796,0.744943820224719,0.8101123595505618
adaptive_corrupted_anchor,0.25,0.3,2,0.27640449438202247,0.6465168539325843,0.31235955056179776,0.7685393258426966,0.8191011235955056
adaptive_corrupted_anchor,0.25,0.3,3,0.302247191011236,0.647191011235955,0.3112359550561798,0.7617977528089888,0.8280898876404494
adaptive_corrupted_anchor,0.25,0.3,4,0.31573033707865167,0.635056179775281,0.3146067415730337,0.749438202247191,0.8067415730337079
adaptive_corrupted_anchor,0.25,0.4,0,0.401123595505618,0.5878651685393258,0.2932584269662921,0.6865168539325842,0.751685393258427
adaptive_corrupted_anchor,0.25,0.4,1,0.39662921348314606,0.6049438202247192,0.29213483146067415,0.7033707865168539,0.7865168539325843
adaptive_corrupted_anchor,0.25,0.4,2,0.36629213483146067,0.6,0.28651685393258425,0.7089887640449438,0.7775280898876404
adaptive_corrupted_anchor,0.25,0.4,3,0.401123595505618,0.5858426966292135,0.28202247191011237,0.6853932584269663,0.7561797752808989
adaptive_corrupted_anchor,0.25,0.4,4,0.4157303370786517,0.5815730337078652,0.27415730337078653,0.6865168539325842,0.7539325842696629
adaptive_corrupted_anchor,0.25,0.5,0,0.5202247191011236,0.5175280898876404,0.24831460674157305,0.5853932584269663,0.6932584269662921
adaptive_corrupted_anchor,0.25,0.5,1,0.5022471910112359,0.5303370786516854,0.26179775280898876,0.6067415730337079,0.7056179775280899
adaptive_corrupted_anchor,0.25,0.5,2,0.4752808988764045,0.5406741573033708,0.27415730337078653,0.6247191011235955,0.7
adaptive_corrupted_anchor,0.25,0.5,3,0.5146067415730337,0.5173033707865169,0.2449438202247191,0.5955056179775281,0.6898876404494382
adaptive_corrupted_anchor,0.25,0.5,4,0.47191011235955055,0.5402247191011236,0.25617977528089886,0.6325842696629214,0.701123595505618
adaptive_corrupted_anchor,0.5,0.0,0,0,0.6420224719101124,0.24943820224719102,0.6539325842696629,1
adaptive_corrupted_anchor,0.5,0.0,1,0,0.6420224719101124,0.24943820224719102,0.6539325842696629,1
adaptive_corrupted_anchor,0.5,0.0,2,0,0.6420224719101124,0.24943820224719102,0.6539325842696629,1
adaptive_corrupted_anchor,0.5,0.0,3,0,0.6420224719101124,0.24943820224719102,0.6539325842696629,1
adaptive_corrupted_anchor,0.5,0.0,4,0,0.6420224719101124,0.24943820224719102,0.6539325842696629,1
adaptive_corrupted_anchor,0.5,0.1,0,0.09438202247191012,0.6020224719101124,0.23258426966292134,0.6168539325842697,0.9393258426966292
adaptive_corrupted_anchor,0.5,0.1,1,0.10224719101123596,0.6042696629213483,0.23595505617977527,0.6179775280898876,0.9415730337078652
adaptive_corrupted_anchor,0.5,0.1,2,0.09887640449438202,0.6047191011235955,0.23820224719101124,0.6134831460674157,0.9382022471910112
adaptive_corrupted_anchor,0.5,0.1,3,0.1101123595505618,0.5993258426966293,0.2258426966292135,0.6134831460674157,0.9393258426966292
adaptive_corrupted_anchor,0.5,0.1,4,0.10337078651685393,0.6029213483146068,0.23370786516853934,0.6134831460674157,0.9382022471910112
adaptive_corrupted_anchor,0.5,0.2,0,0.2,0.5633707865168539,0.21348314606741572,0.5685393258426966,0.8876404494382022
adaptive_corrupted_anchor,0.5,0.2,1,0.1943820224719101,0.5719101123595506,0.2202247191011236,0.5865168539325842,0.8842696629213483
adaptive_corrupted_anchor,0.5,0.2,2,0.21235955056179776,0.5651685393258427,0.21348314606741572,0.5820224719101124,0.8764044943820225
adaptive_corrupted_anchor,0.5,0.2,3,0.19101123595505617,0.5631460674157304,0.21685393258426966,0.5775280898876405,0.8752808988764045
adaptive_corrupted_anchor,0.5,0.2,4,0.20561797752808988,0.5683146067415731,0.22247191011235956,0.5797752808988764,0.8853932584269663
adaptive_corrupted_anchor,0.5,0.3,0,0.30112359550561796,0.5193258426966292,0.19887640449438201,0.5370786516853933,0.8101123595505618
adaptive_corrupted_anchor,0.5,0.3,1,0.31797752808988766,0.5287640449438202,0.21123595505617979,0.5415730337078651,0.8101123595505618
adaptive_corrupted_anchor,0.5,0.3,2,0.27640449438202247,0.5235955056179775,0.20224719101123595,0.5348314606741573,0.8191011235955056
adaptive_corrupted_anchor,0.5,0.3,3,0.302247191011236,0.5253932584269663,0.19550561797752808,0.5382022471910113,0.8280898876404494
adaptive_corrupted_anchor,0.5,0.3,4,0.31573033707865167,0.5157303370786517,0.20561797752808988,0.5191011235955056,0.8067415730337079
adaptive_corrupted_anchor,0.5,0.4,0,0.401123595505618,0.48247191011235957,0.19775280898876405,0.4910112359550562,0.751685393258427
adaptive_corrupted_anchor,0.5,0.4,1,0.39662921348314606,0.5119101123595505,0.20337078651685395,0.5258426966292135,0.7865168539325843
adaptive_corrupted_anchor,0.5,0.4,2,0.36629213483146067,0.4991011235955056,0.19775280898876405,0.5044943820224719,0.7775280898876404
adaptive_corrupted_anchor,0.5,0.4,3,0.401123595505618,0.4856179775280899,0.19213483146067414,0.49550561797752807,0.7561797752808989
adaptive_corrupted_anchor,0.5,0.4,4,0.4157303370786517,0.4808988764044944,0.18202247191011237,0.49775280898876406,0.7539325842696629
adaptive_corrupted_anchor,0.5,0.5,0,0.5202247191011236,0.44741573033707865,0.17415730337078653,0.45617977528089887,0.6932584269662921
adaptive_corrupted_anchor,0.5,0.5,1,0.5022471910112359,0.4557303370786517,0.20112359550561798,0.46292134831460674,0.7056179775280899
adaptive_corrupted_anchor,0.5,0.5,2,0.4752808988764045,0.45707865168539324,0.1853932584269663,0.4707865168539326,0.7
adaptive_corrupted_anchor,0.5,0.5,3,0.5146067415730337,0.4512359550561798,0.17752808988764046,0.46629213483146065,0.6898876404494382
adaptive_corrupted_anchor,0.5,0.5,4,0.47191011235955055,0.4503370786516854,0.16853932584269662,0.46179775280898877,0.701123595505618
anchored_random_rest,0.25,0.0,0,0,0.8038202247191011,0.3550561797752809,1,1
anchored_random_rest,0.25,0.0,1,0,0.807191011235955,0.35280898876404493,1,1
anchored_random_rest,0.25,0.0,2,0,0.8017977528089888,0.3292134831460674,1,1
anchored_random_rest,0.25,0.0,3,0,0.7991011235955057,0.31685393258426964,1,1
anchored_random_rest,0.25,0.0,4,0,0.8085393258426966,0.36179775280898874,1,1
anchored_random_rest,0.25,0.1,0,0.09438202247191012,0.748314606741573,0.3303370786516854,0.9235955056179775,0.9415730337078652
anchored_random_rest,0.25,0.1,1,0.10224719101123596,0.7541573033707866,0.3348314606741573,0.9235955056179775,0.9426966292134832
anchored_random_rest,0.25,0.1,2,0.09887640449438202,0.7469662921348315,0.3044943820224719,0.9224719101123595,0.946067415730337
anchored_random_rest,0.25,0.1,3,0.1101123595505618,0.7382022471910112,0.2943820224719101,0.9146067415730337,0.9438202247191011
anchored_random_rest,0.25,0.1,4,0.10337078651685393,0.7444943820224719,0.3325842696629214,0.9101123595505618,0.9303370786516854
anchored_random_rest,0.25,0.2,0,0.2,0.6867415730337079,0.2943820224719101,0.8449438202247191,0.8876404494382022
