policy,budget,anchor_corruption,rows,cases_per_repetition,repetitions,actual_anchor_corruption,top1,top3,top5,avg_at_5,combined_reduction,trace_row_reduction,metric_sample_reduction
adaptive_corrupted_anchor,0.25,0.0,4450,890,5,0,0.41797752808988764,1,1,0.8256179775280899,0.9383782225252583,0.9350749696492788,0.8071541122128353
adaptive_corrupted_anchor,0.25,0.1,4450,890,5,0.10179775280898877,0.3829213483146067,0.9202247191011236,0.9393258426966292,0.7646741573033707,0.9380749131375179,0.9347675440491788,0.8071705490213599
adaptive_corrupted_anchor,0.25,0.2,4450,890,5,0.2006741573033708,0.3510112359550562,0.8449438202247191,0.8817977528089888,0.7070561797752809,0.9376651977608381,0.9343519794815938,0.8071594369990746
adaptive_corrupted_anchor,0.25,0.3,4450,890,5,0.30269662921348317,0.309438202247191,0.7575280898876404,0.8148314606741573,0.6407640449438202,0.9375542055287377,0.9342376497298318,0.8070884511825202
adaptive_corrupted_anchor,0.25,0.4,4450,890,5,0.39617977528089887,0.2856179775280899,0.6941573033707865,0.7651685393258427,0.5920449438202248,0.9370780994338161,0.9337559839684604,0.8070720212468069
adaptive_corrupted_anchor,0.25,0.5,4450,890,5,0.4968539325842697,0.25707865168539323,0.6089887640449438,0.6979775280898877,0.5292134831460674,0.936740757520277,0.9334174121611901,0.807277877451108
adaptive_corrupted_anchor,0.5,0.0,4450,890,5,0,0.24943820224719102,0.6539325842696629,1,0.6420224719101124,0.762504410889993,0.7600620913224437,0.6401285217179543
adaptive_corrupted_anchor,0.5,0.1,4450,890,5,0.10179775280898877,0.23325842696629215,0.6150561797752809,0.9393258426966292,0.6026516853932584,0.7606354083574746,0.758175374580014,0.6402249571391425
adaptive_corrupted_anchor,0.5,0.2,4450,890,5,0.2006741573033708,0.21730337078651685,0.578876404494382,0.8817977528089888,0.5663820224719102,0.7591537533078709,0.7566826608848277,0.6402136146147689
adaptive_corrupted_anchor,0.5,0.3,4450,890,5,0.30269662921348317,0.20269662921348314,0.5341573033707865,0.8148314606741573,0.522561797752809,0.7555629210664947,0.7530349020702771,0.6401430870472071
adaptive_corrupted_anchor,0.5,0.4,4450,890,5,0.39617977528089887,0.1946067415730337,0.5029213483146068,0.7651685393258427,0.492,0.7566923829582792,0.7541784018398523,0.6396818437315664
adaptive_corrupted_anchor,0.5,0.5,4450,890,5,0.4968539325842697,0.18134831460674158,0.4635955056179775,0.6979775280898877,0.4523595505617978,0.753225490622083,0.7506620095142036,0.6402265001460495
anchored_random_rest,0.25,0.0,4450,890,5,0,0.34314606741573034,1,1,0.8040898876404494,0.9359176354392688,0.9325897332137404,0.8073218204845173
anchored_random_rest,0.25,0.1,4450,890,5,0.10179775280898877,0.3193258426966292,0.918876404494382,0.9408988764044944,0.7464269662921348,0.9359349700089568,0.932606566344059,0.8073006001183316
anchored_random_rest,0.25,0.2,4450,890,5,0.2006741573033708,0.2896629213483146,0.8456179775280899,0.8867415730337078,0.6918651685393259,0.9359038504128808,0.9325717663083545,0.8075147817644133
anchored_random_rest,0.25,0.3,4450,890,5,0.30269662921348317,0.2640449438202247,0.7703370786516854,0.8339325842696629,0.6376629213483146,0.9356807025703197,0.9323459323521871,0.8077591074641652
anchored_random_rest,0.25,0.4,4450,890,5,0.39617977528089887,0.23370786516853934,0.6898876404494382,0.775505617977528,0.5795505617977528,0.9357431858831283,0.9324102132678341,0.8072850204039816
anchored_random_rest,0.25,0.5,4450,890,5,0.4968539325842697,0.21258426966292135,0.6121348314606742,0.7186516853932584,0.5254831460674158,0.9355784109285302,0.932240191808704,0.8077979744794657
anchored_random_rest,0.5,0.0,4450,890,5,0,0.21775280898876404,0.6332584269662921,1,0.6200898876404495,0.78029549738274,0.7782561751221735,0.6396631421474811
anchored_random_rest,0.5,0.1,4450,890,5,0.10179775280898877,0.2049438202247191,0.5946067415730337,0.9442696629213483,0.5837303370786517,0.7800697071032723,0.7780249803629719,0.6397471720189474
anchored_random_rest,0.5,0.2,4450,890,5,0.2006741573033708,0.19325842696629214,0.5597752808988764,0.8831460674157303,0.5481348314606742,0.7795348409230856,0.7774775262206269,0.639633104486348
anchored_random_rest,0.5,0.3,4450,890,5,0.30269662921348317,0.1795505617977528,0.5274157303370787,0.8314606741573034,0.5159101123595505,0.7796688944788248,0.7776137953871051,0.6398651440441477
anchored_random_rest,0.5,0.4,4450,890,5,0.39617977528089887,0.17101123595505618,0.4943820224719101,0.7795505617977528,0.4832359550561798,0.7788816436876743,0.7768152664457262,0.6397289638150325
anchored_random_rest,0.5,0.5,4450,890,5,0.4968539325842697,0.1604494382022472,0.45370786516853934,0.7188764044943821,0.4458876404494382,0.7790986363096568,0.777037922361389,0.6401557119100444
full_reference,0.25,0.0,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.25,0.1,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.25,0.2,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.25,0.3,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.25,0.4,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.25,0.5,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.5,0.0,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.5,0.1,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.5,0.2,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.5,0.3,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.5,0.4,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
full_reference,0.5,0.5,4450,890,5,0,0.12808988764044943,0.35280898876404493,0.5516853932584269,0.34606741573033706,0.0,0.0,0.0
random_multibudget,0.25,0.0,4450,890,5,0,0.09820224719101124,0.2995505617977528,0.5107865168539326,0.3021573033707865,0.935310442690677,0.9319567417081338,0.8076290549377914
random_multibudget,0.25,0.1,4450,890,5,0.10179775280898877,0.09820224719101124,0.2995505617977528,0.5107865168539326,0.3021573033707865,0.935310442690677,0.9319567417081338,0.8076290549377914
random_multibudget,0.25,0.2,4450,890,5,0.2006741573033708,0.09820224719101124,0.2995505617977528,0.5107865168539326,0.3021573033707865,0.935310442690677,0.9319567417081338,0.8076290549377914
random_multibudget,0.25,0.3,4450,890,5,0.30269662921348317,0.09820224719101124,0.2995505617977528,0.5107865168539326,0.3021573033707865,0.935310442690677,0.9319567417081338,0.8076290549377914
random_multibudget,0.25,0.4,4450,890,5,0.39617977528089887,0.09820224719101124,0.2995505617977528,0.5107865168539326,0.3021573033707865,0.935310442690677,0.9319567417081338,0.8076290549377914
random_multibudget,0.25,0.5,4450,890,5,0.4968539325842697,0.09820224719101124,0.2995505617977528,0.5107865168539326,0.3021573033707865,0.935310442690677,0.9319567417081338,0.8076290549377914
random_multibudget,0.5,0.0,4450,890,5,0,0.10719101123595505,0.32179775280898876,0.5092134831460674,0.31442696629213485,0.7780550967854368,0.7759770086415058,0.6398417962997434
random_multibudget,0.5,0.1,4450,890,5,0.10179775280898877,0.10719101123595505,0.32179775280898876,0.5092134831460674,0.31442696629213485,0.7780550967854368,0.7759770086415058,0.6398417962997434
random_multibudget,0.5,0.2,4450,890,5,0.2006741573033708,0.10719101123595505,0.32179775280898876,0.5092134831460674,0.31442696629213485,0.7780550967854368,0.7759770086415058,0.6398417962997434
random_multibudget,0.5,0.3,4450,890,5,0.30269662921348317,0.10719101123595505,0.32179775280898876,0.5092134831460674,0.31442696629213485,0.7780550967854368,0.7759770086415058,0.6398417962997434
random_multibudget,0.5,0.4,4450,890,5,0.39617977528089887,0.10719101123595505,0.32179775280898876,0.5092134831460674,0.31442696629213485,0.7780550967854368,0.7759770086415058,0.6398417962997434
random_multibudget,0.5,0.5,4450,890,5,0.4968539325842697,0.10719101123595505,0.32179775280898876,0.5092134831460674,0.31442696629213485,0.7780550967854368,0.7759770086415058,0.6398417962997434
