seed,policy,budget,top1,top3,top5,avg_at_5
1,single_budget_random,0.1,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889
1,single_budget_random,0.25,0.12444444444444444,0.30666666666666664,0.30666666666666664,0.25044444444444447
1,single_budget_random,0.5,0.13,0.3388888888888889,0.5166666666666667,0.33066666666666666
1,random_multibudget,0.1,0.08777777777777777,0.08777777777777777,0.08777777777777777,0.08777777777777777
1,random_multibudget,0.25,0.11666666666666667,0.3,0.3,0.246
1,random_multibudget,0.5,0.12111111111111111,0.30777777777777776,0.48,0.3042222222222222
2,single_budget_random,0.1,0.09777777777777778,0.09777777777777778,0.09777777777777778,0.09777777777777778
2,single_budget_random,0.25,0.09888888888888889,0.3011111111111111,0.3011111111111111,0.23955555555555558
2,single_budget_random,0.5,0.11555555555555555,0.3466666666666667,0.5244444444444445,0.33066666666666666
2,random_multibudget,0.1,0.09444444444444444,0.09444444444444444,0.09444444444444444,0.09444444444444444
2,random_multibudget,0.25,0.11222222222222222,0.31666666666666665,0.31666666666666665,0.254
2,random_multibudget,0.5,0.12,0.31444444444444447,0.5088888888888888,0.3151111111111111
3,single_budget_random,0.1,0.10222222222222223,0.10222222222222223,0.10222222222222223,0.10222222222222223
3,single_budget_random,0.25,0.11444444444444445,0.30444444444444446,0.30444444444444446,0.2491111111111111
3,single_budget_random,0.5,0.11777777777777777,0.3211111111111111,0.5066666666666667,0.3191111111111111
3,random_multibudget,0.1,0.12444444444444444,0.12444444444444444,0.12444444444444444,0.12444444444444444
3,random_multibudget,0.25,0.11444444444444445,0.29555555555555557,0.29555555555555557,0.24222222222222223
3,random_multibudget,0.5,0.1,0.33111111111111113,0.4955555555555556,0.3117777777777778
4,single_budget_random,0.1,0.1,0.1,0.1,0.1
4,single_budget_random,0.25,0.11333333333333333,0.31444444444444447,0.31444444444444447,0.25599999999999995
4,single_budget_random,0.5,0.11444444444444445,0.3111111111111111,0.4855555555555556,0.30400000000000005
4,random_multibudget,0.1,0.09777777777777778,0.09777777777777778,0.09777777777777778,0.09777777777777778
4,random_multibudget,0.25,0.11222222222222222,0.28555555555555556,0.28555555555555556,0.23311111111111113
4,random_multibudget,0.5,0.11333333333333333,0.31222222222222223,0.5066666666666667,0.30844444444444447
5,single_budget_random,0.1,0.09222222222222222,0.09222222222222222,0.09222222222222222,0.09222222222222222
5,single_budget_random,0.25,0.10333333333333333,0.28888888888888886,0.28888888888888886,0.23377777777777778
5,single_budget_random,0.5,0.12222222222222222,0.3211111111111111,0.5166666666666667,0.3224444444444445
5,random_multibudget,0.1,0.09777777777777778,0.09777777777777778,0.09777777777777778,0.09777777777777778
5,random_multibudget,0.25,0.10888888888888888,0.3088888888888889,0.3088888888888889,0.24866666666666667
5,random_multibudget,0.5,0.12111111111111111,0.3333333333333333,0.5222222222222223,0.3257777777777778
6,single_budget_random,0.1,0.08555555555555555,0.08555555555555555,0.08555555555555555,0.08555555555555555
6,single_budget_random,0.25,0.09555555555555556,0.27666666666666667,0.27666666666666667,0.2237777777777778
6,single_budget_random,0.5,0.13777777777777778,0.32,0.52,0.32733333333333337
6,random_multibudget,0.1,0.1,0.1,0.1,0.1
6,random_multibudget,0.25,0.12,0.31222222222222223,0.31222222222222223,0.25599999999999995
6,random_multibudget,0.5,0.11666666666666667,0.32555555555555554,0.5088888888888888,0.3151111111111111
7,single_budget_random,0.1,0.10555555555555556,0.10555555555555556,0.10555555555555556,0.10555555555555556
7,single_budget_random,0.25,0.12222222222222222,0.31222222222222223,0.31222222222222223,0.25533333333333336
7,single_budget_random,0.5,0.12333333333333334,0.3244444444444444,0.5011111111111111,0.31800000000000006
7,random_multibudget,0.1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
7,random_multibudget,0.25,0.10777777777777778,0.29444444444444445,0.29444444444444445,0.2406666666666667
7,random_multibudget,0.5,0.12222222222222222,0.3188888888888889,0.5022222222222222,0.314
8,single_budget_random,0.1,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
8,single_budget_random,0.25,0.11444444444444445,0.29444444444444445,0.29444444444444445,0.2411111111111111
8,single_budget_random,0.5,0.12444444444444444,0.32,0.5166666666666667,0.32088888888888883
8,random_multibudget,0.1,0.10666666666666667,0.10666666666666667,0.10666666666666667,0.10666666666666667
8,random_multibudget,0.25,0.11333333333333333,0.29444444444444445,0.29444444444444445,0.2402222222222222
8,random_multibudget,0.5,0.12,0.3211111111111111,0.49777777777777776,0.3151111111111111
9,single_budget_random,0.1,0.1,0.1,0.1,0.1
9,single_budget_random,0.25,0.11555555555555555,0.3188888888888889,0.3188888888888889,0.2564444444444445
9,single_budget_random,0.5,0.11777777777777777,0.2966666666666667,0.4688888888888889,0.29555555555555557
9,random_multibudget,0.1,0.11888888888888889,0.11888888888888889,0.11888888888888889,0.11888888888888889
9,random_multibudget,0.25,0.1322222222222222,0.3211111111111111,0.3211111111111111,0.26488888888888884
9,random_multibudget,0.5,0.12222222222222222,0.3055555555555556,0.4855555555555556,0.30444444444444446
10,single_budget_random,0.1,0.10222222222222223,0.10222222222222223,0.10222222222222223,0.10222222222222223
10,single_budget_random,0.25,0.11333333333333333,0.31444444444444447,0.31444444444444447,0.2577777777777778
10,single_budget_random,0.5,0.10888888888888888,0.3233333333333333,0.5122222222222222,0.3151111111111111
10,random_multibudget,0.1,0.11222222222222222,0.11222222222222222,0.11222222222222222,0.11222222222222222
10,random_multibudget,0.25,0.09,0.25555555555555554,0.25555555555555554,0.20511111111111113
10,random_multibudget,0.5,0.11555555555555555,0.3244444444444444,0.5055555555555555,0.3204444444444445
