seed,policy,budget,top1,top3,top5,avg_at_5
1,single_budget_random,0.1,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889
1,random_multibudget,0.1,0.10333333333333333,0.10333333333333333,0.10333333333333333,0.10333333333333333
2,single_budget_random,0.1,0.09777777777777778,0.09777777777777778,0.09777777777777778,0.09777777777777778
2,random_multibudget,0.1,0.09666666666666666,0.09666666666666666,0.09666666666666666,0.09666666666666666
3,single_budget_random,0.1,0.10222222222222223,0.10222222222222223,0.10222222222222223,0.10222222222222223
3,random_multibudget,0.1,0.09444444444444444,0.09444444444444444,0.09444444444444444,0.09444444444444444
4,single_budget_random,0.1,0.1,0.1,0.1,0.1
4,random_multibudget,0.1,0.10777777777777778,0.10777777777777778,0.10777777777777778,0.10777777777777778
5,single_budget_random,0.1,0.09222222222222222,0.09222222222222222,0.09222222222222222,0.09222222222222222
5,random_multibudget,0.1,0.09666666666666666,0.09666666666666666,0.09666666666666666,0.09666666666666666
