policy,dataset,fault,budget,cases,top1,top3,top5,avg5,kept_anomalous_mean,full_anomalous_mean,kept_trace_mean,full_trace_mean,anom_reduction,total_reduction
latency_topk,RE2-OB,cpu,0.1,15,0.0,0.7333333333333333,1.0,0.64,1136.0666666666666,11360.133333333333,13413.666666666666,23637.733333333334,0.8999953052194223,0.43253160201485763
latency_topk,RE2-OB,cpu,0.25,15,0.06666666666666667,0.8,1.0,0.68,2840.0666666666666,11360.133333333333,15117.666666666666,23637.733333333334,0.7499970657621389,0.36044347173727886
latency_topk,RE2-OB,cpu,0.5,15,0.06666666666666667,0.8,1.0,0.6933333333333334,5680.2,11360.133333333333,17957.8,23637.733333333334,0.4999882630485558,0.2402909472425444
latency_topk,RE2-OB,cpu,1.0,15,0.06666666666666667,0.8,1.0,0.6933333333333334,11360.133333333333,11360.133333333333,23637.733333333334,23637.733333333334,0.0,0.0
latency_topk,RE2-OB,delay,0.1,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,1148.2,11483.133333333333,13575.8,23910.733333333334,0.9000098695478005,0.43222987723783746
latency_topk,RE2-OB,delay,0.25,15,0.2,0.4666666666666667,0.9333333333333333,0.56,2870.8,11483.133333333333,15298.4,23910.733333333334,0.7499985485959116,0.36018691745129805
latency_topk,RE2-OB,delay,0.5,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,5741.533333333334,11483.133333333333,18169.133333333335,23910.733333333334,0.5000029028081766,0.2401264703996252
latency_topk,RE2-OB,delay,1.0,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,11483.133333333333,11483.133333333333,23910.733333333334,23910.733333333334,0.0,0.0
latency_topk,RE2-OB,disk,0.1,15,0.06666666666666667,0.8,1.0,0.6666666666666666,1181.1333333333334,11811.133333333333,13462.266666666666,24092.266666666666,0.8999983066823957,0.44122041927700173
latency_topk,RE2-OB,disk,0.25,15,0.2,0.8,1.0,0.7066666666666667,2952.733333333333,11811.133333333333,15233.866666666667,24092.266666666666,0.7500042332940108,0.3676864498704978
latency_topk,RE2-OB,disk,0.5,15,0.2,0.8,1.0,0.7333333333333333,5905.533333333334,11811.133333333333,18186.666666666668,24092.266666666666,0.5000028221960071,0.24512429991366513
latency_topk,RE2-OB,disk,1.0,15,0.2,0.8,1.0,0.7066666666666667,11811.133333333333,11811.133333333333,24092.266666666666,24092.266666666666,0.0,0.0
latency_topk,RE2-OB,loss,0.1,15,0.06666666666666667,0.4,0.8,0.45333333333333337,998.6,9986.333333333334,13258.266666666666,22246.0,0.9000033378951233,0.4040157031975786
latency_topk,RE2-OB,loss,0.25,15,0.2,0.4,0.8666666666666667,0.5066666666666667,2496.6666666666665,9986.333333333334,14756.333333333334,22246.0,0.7499916552621917,0.33667475800893043
latency_topk,RE2-OB,loss,0.5,15,0.2,0.4,0.8666666666666667,0.49333333333333335,4993.333333333333,9986.333333333334,17253.0,22246.0,0.4999833105243834,0.2244448440169019
latency_topk,RE2-OB,loss,1.0,15,0.06666666666666667,0.4666666666666667,0.8666666666666667,0.49333333333333335,9986.333333333334,9986.333333333334,22246.0,22246.0,0.0,0.0
latency_topk,RE2-OB,mem,0.1,15,0.0,0.5333333333333333,1.0,0.5866666666666667,1065.1333333333334,10652.4,13284.666666666666,22871.933333333334,0.900010013392913,0.41917167766024743
latency_topk,RE2-OB,mem,0.25,15,0.0,0.5333333333333333,1.0,0.5866666666666667,2663.133333333333,10652.4,14882.666666666666,22871.933333333334,0.7499968708147147,0.34930438761917815
latency_topk,RE2-OB,mem,0.5,15,0.0,0.5333333333333333,1.0,0.5866666666666667,5326.266666666666,10652.4,17545.8,22871.933333333334,0.49999374162942933,0.23286764855907827
latency_topk,RE2-OB,mem,1.0,15,0.0,0.5333333333333333,1.0,0.5866666666666667,10652.4,10652.4,22871.933333333334,22871.933333333334,0.0,0.0
