dataset,budget,anom_reduction_latency_topk,anom_reduction_random,avg5_latency_topk,avg5_random,top1_latency_topk,top1_random,top3_latency_topk,top3_random,top5_latency_topk,top5_random,total_reduction_latency_topk,total_reduction_random,avg5_gain_latency_vs_random,top3_gain_latency_vs_random
RE2-OB,0.1,0.9000029808332423,0.9000029808332423,0.5933333333333333,0.6133333333333334,0.05555555555555555,0.15555555555555556,0.6111111111111112,0.6222222222222222,0.9555555555555556,0.9333333333333333,0.4283460590119652,0.4283460590119652,-0.02000000000000013,-0.011111111111111072
RE2-OB,0.25,0.7499975159722981,0.7499975159722981,0.6155555555555556,0.6222222222222222,0.12222222222222222,0.12222222222222222,0.6222222222222222,0.6333333333333333,0.9666666666666667,0.9555555555555556,0.35695268468785435,0.35695268468785435,-0.006666666666666599,-0.011111111111111072
RE2-OB,0.5,0.49999503194459627,0.49999503194459627,0.6222222222222222,0.6266666666666667,0.13333333333333333,0.12222222222222222,0.6222222222222222,0.6444444444444445,0.9555555555555556,0.9666666666666667,0.23796688013271405,0.23796688013271405,-0.004444444444444473,-0.022222222222222254
RE2-OB,1.0,0.0,0.0,0.6244444444444445,0.6244444444444445,0.1111111111111111,0.1111111111111111,0.6444444444444445,0.6444444444444445,0.9666666666666667,0.9666666666666667,0.0,0.0,0.0,0.0
RE2-TT,0.1,0.9000089710235938,0.9000089710235938,0.9222222222222223,0.9733333333333333,0.7777777777777778,0.8666666666666667,0.9666666666666667,1.0,0.9666666666666667,1.0,0.4369930916725471,0.4369930916725471,-0.051111111111110996,-0.033333333333333326
RE2-TT,0.25,0.7499919260787655,0.7499919260787655,0.9444444444444444,0.9688888888888889,0.8111111111111111,0.8666666666666667,0.9777777777777777,1.0,0.9777777777777777,1.0,0.3641533596424744,0.3641533596424744,-0.02444444444444449,-0.022222222222222254
RE2-TT,0.5,0.4999802637480937,0.4999802637480937,0.9533333333333333,0.9600000000000001,0.8333333333333334,0.8333333333333334,0.9888888888888889,0.9888888888888889,0.9888888888888889,1.0,0.2427619371194104,0.2427619371194104,-0.006666666666666821,0.0
RE2-TT,1.0,0.0,0.0,0.9555555555555556,0.9555555555555556,0.8333333333333334,0.8333333333333334,0.9888888888888889,0.9888888888888889,1.0,1.0,0.0,0.0,0.0,0.0
