model,budget,cases,folds,top1,top3,top5,avg_at_5
hist_gradient_evidence,0.25,890,5,0.8370786516853933,1.0,1.0,0.9379775280898875
random_forest_evidence,0.25,890,5,0.8404494382022472,1.0,1.0,0.9375280898876405
logistic_evidence,0.25,890,5,0.744943820224719,1.0,1.0,0.9206741573033708
deterministic_formula,0.25,890,5,0.41797752808988764,1.0,1.0,0.8256179775280899
random_forest_evidence,0.5,890,5,0.6651685393258427,0.8067415730337079,1.0,0.8087640449438201
hist_gradient_evidence,0.5,890,5,0.6022471910112359,0.8056179775280898,1.0,0.8017977528089888
logistic_evidence,0.5,890,5,0.40224719101123596,0.7808988764044944,1.0,0.7278651685393258
deterministic_formula,0.5,890,5,0.24943820224719102,0.6539325842696629,1.0,0.6420224719101123
