case_id,budget,fold,model,rank,top1,top3,top5,avg_at_5
mobservice1_memory_1626877506,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_memory_1627163076,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_memory_1627200697,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_memory_1627219564,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_memory_1627247170,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_memory_1627279781,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_memory_1627580206,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_memory_1627661901,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice1_qr_expired_1625542705,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_qr_expired_1625756698,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_qr_expired_1625841247,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice1_qr_expired_1626040718,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_qr_expired_1626191632,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_qr_expired_1626491905,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice1_qr_expired_1626551052,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_qr_expired_1626632651,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_qr_expired_1626784630,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_qr_expired_1626999263,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_qr_expired_1627157519,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_qr_expired_1627212755,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_qr_expired_1627466564,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_qr_expired_1627552119,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_qr_expired_1627607460,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice1_qr_expired_1627636467,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice1_qr_expired_1627666643,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice1_qr_expired_1627691008,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice2_errno111_1626752406,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice2_errno111_1626752504,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice2_memory_1625676811,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_memory_1625697606,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice2_memory_1625742099,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_memory_1626030275,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice2_memory_1626061939,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice2_memory_1626132020,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice2_memory_1626157765,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_memory_1626198509,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice2_memory_1626411067,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_memory_1626458752,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_memory_1627204060,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice2_memory_1627731436,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1625152105,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1625179967,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice2_qr_expired_1625242846,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1625390816,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1625553275,0.25,1,deterministic_formula,1,1,1,1,1.0
mobservice2_qr_expired_1625586485,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1625827086,0.25,1,deterministic_formula,3,0,1,1,0.6
mobservice2_qr_expired_1626027488,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1626179787,0.25,1,deterministic_formula,2,0,1,1,0.8
mobservice2_qr_expired_1626516592,0.25,1,deterministic_formula,1,1,1,1,1.0
