model,budget,cases,folds,top1,top3,top5,avg_at_5,det_avg_at_5,det_top1,det_top3,det_top5,delta_avg_at_5,delta_top1
hist_gradient_evidence,0.25,890,5,0.8370786516853933,1.0,1.0,0.9379775280898875,0.8256179775280899,0.4179775280898876,1.0,1.0,0.1123595505617977,0.4191011235955057
random_forest_evidence,0.25,890,5,0.8404494382022472,1.0,1.0,0.9375280898876404,0.8256179775280899,0.4179775280898876,1.0,1.0,0.1119101123595505,0.42247191011235957
logistic_evidence,0.25,890,5,0.744943820224719,1.0,1.0,0.9206741573033708,0.8256179775280899,0.4179775280898876,1.0,1.0,0.09505617977528091,0.32696629213483147
random_forest_evidence,0.5,890,5,0.6651685393258427,0.8067415730337079,1.0,0.8087640449438201,0.6420224719101123,0.249438202247191,0.6539325842696629,1.0,0.16674157303370785,0.41573033707865176
hist_gradient_evidence,0.5,890,5,0.6022471910112359,0.8056179775280898,1.0,0.8017977528089888,0.6420224719101123,0.249438202247191,0.6539325842696629,1.0,0.1597752808988765,0.35280898876404493
logistic_evidence,0.5,890,5,0.4022471910112359,0.7808988764044944,1.0,0.7278651685393258,0.6420224719101123,0.249438202247191,0.6539325842696629,1.0,0.08584269662921351,0.15280898876404492
