fault_type,cases,top1,top3,top5,avg_at_5
cpu,15,0.06666666666666667,0.26666666666666666,0.6,0.29333333333333333
errno111,20,0.1,0.5,0.55,0.37
file_move,43,0.3953488372093023,0.8837209302325582,0.9534883720930233,0.786046511627907
memory,652,0.09049079754601227,0.2960122699386503,0.4723926380368098,0.2880368098159509
qr_expired,160,0.4125,0.675,0.76875,0.62625
