dataset,budget,avg5_early_window,avg5_late_window,avg5_random,top3_early_window,top3_late_window,top3_random,trace_reduction_early_window,trace_reduction_late_window,trace_reduction_random,avg5_gain_early_vs_random,avg5_gain_late_vs_random
RE2-OB,0.1,0.6311111111111112,0.5977777777777779,0.6133333333333334,0.6555555555555556,0.6111111111111112,0.6222222222222222,0.4283460590119652,0.4283460590119652,0.4283460590119652,0.01777777777777778,-0.015555555555555545
RE2-OB,0.25,0.6222222222222222,0.6,0.6222222222222222,0.6444444444444445,0.6,0.6333333333333333,0.35695268468785435,0.35695268468785435,0.35695268468785435,0.0,-0.022222222222222254
RE2-OB,0.5,0.6222222222222222,0.6,0.6266666666666667,0.6333333333333333,0.6222222222222222,0.6444444444444445,0.23796688013271405,0.23796688013271405,0.23796688013271405,-0.004444444444444473,-0.026666666666666727
RE2-OB,1.0,0.6244444444444445,0.6244444444444445,0.6244444444444445,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.0,0.0,0.0,0.0,0.0
RE2-TT,0.1,0.9244444444444445,0.9377777777777778,0.9733333333333333,0.9555555555555556,0.9666666666666667,1.0,0.4369930916725471,0.4369930916725471,0.4369930916725471,-0.04888888888888876,-0.03555555555555545
RE2-TT,0.25,0.9333333333333333,0.9577777777777778,0.9688888888888889,0.9555555555555556,0.9888888888888889,1.0,0.3641533596424744,0.3641533596424744,0.3641533596424744,-0.03555555555555556,-0.011111111111111072
RE2-TT,0.5,0.9422222222222222,0.948888888888889,0.9600000000000001,0.9666666666666667,0.9888888888888889,0.9888888888888889,0.2427619371194104,0.2427619371194104,0.2427619371194104,-0.017777777777777892,-0.011111111111111072
RE2-TT,1.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.0,0.0,0.0,0.0,0.0
