dataset,service,fault,instance,policy,budget,top1,top3,top5,avg5,full_trace_count,kept_trace_count,full_anomalous_trace_count,kept_anomalous_trace_count
RE2-OB,emailservice,loss,1,random,0.1,0.0,0.0,0.0,0.0,23539,13030,11677,1168
RE2-OB,emailservice,loss,1,random,0.25,0.0,0.0,0.0,0.0,23539,14781,11677,2919
RE2-OB,emailservice,loss,1,random,0.5,0.0,0.0,0.0,0.0,23539,17700,11677,5838
RE2-OB,emailservice,loss,1,random,1.0,0.0,0.0,0.0,0.0,23539,23539,11677,11677
RE2-OB,emailservice,loss,1,early_window,0.1,0.0,0.0,1.0,0.2,23539,13030,11677,1168
RE2-OB,emailservice,loss,1,early_window,0.25,0.0,0.0,0.0,0.0,23539,14781,11677,2919
RE2-OB,emailservice,loss,1,early_window,0.5,0.0,0.0,0.0,0.0,23539,17700,11677,5838
RE2-OB,emailservice,loss,1,early_window,1.0,0.0,0.0,0.0,0.0,23539,23539,11677,11677
RE2-OB,emailservice,loss,1,late_window,0.1,0.0,0.0,1.0,0.2,23539,13030,11677,1168
RE2-OB,emailservice,loss,1,late_window,0.25,0.0,0.0,1.0,0.2,23539,14781,11677,2919
RE2-OB,emailservice,loss,1,late_window,0.5,0.0,0.0,0.0,0.0,23539,17700,11677,5838
RE2-OB,emailservice,loss,1,late_window,1.0,0.0,0.0,0.0,0.0,23539,23539,11677,11677
RE2-OB,emailservice,loss,2,random,0.1,0.0,0.0,0.0,0.0,24745,13601,12382,1238
RE2-OB,emailservice,loss,2,random,0.25,0.0,0.0,0.0,0.0,24745,15459,12382,3096
RE2-OB,emailservice,loss,2,random,0.5,0.0,0.0,0.0,0.0,24745,18554,12382,6191
RE2-OB,emailservice,loss,2,random,1.0,0.0,0.0,0.0,0.0,24745,24745,12382,12382
RE2-OB,emailservice,loss,2,early_window,0.1,0.0,0.0,1.0,0.2,24745,13601,12382,1238
RE2-OB,emailservice,loss,2,early_window,0.25,0.0,0.0,1.0,0.2,24745,15459,12382,3096
RE2-OB,emailservice,loss,2,early_window,0.5,0.0,0.0,0.0,0.0,24745,18554,12382,6191
RE2-OB,emailservice,loss,2,early_window,1.0,0.0,0.0,0.0,0.0,24745,24745,12382,12382
RE2-OB,emailservice,loss,2,late_window,0.1,0.0,0.0,1.0,0.2,24745,13601,12382,1238
RE2-OB,emailservice,loss,2,late_window,0.25,0.0,0.0,0.0,0.0,24745,15459,12382,3096
RE2-OB,emailservice,loss,2,late_window,0.5,0.0,0.0,0.0,0.0,24745,18554,12382,6191
RE2-OB,emailservice,loss,2,late_window,1.0,0.0,0.0,0.0,0.0,24745,24745,12382,12382
RE2-OB,emailservice,loss,3,random,0.1,0.0,1.0,1.0,0.6,24554,13575,12199,1220
RE2-OB,emailservice,loss,3,random,0.25,0.0,1.0,1.0,0.6,24554,15405,12199,3050
RE2-OB,emailservice,loss,3,random,0.5,0.0,1.0,1.0,0.6,24554,18455,12199,6100
RE2-OB,emailservice,loss,3,random,1.0,0.0,1.0,1.0,0.6,24554,24554,12199,12199
RE2-OB,emailservice,loss,3,early_window,0.1,0.0,1.0,1.0,0.6,24554,13575,12199,1220
RE2-OB,emailservice,loss,3,early_window,0.25,0.0,1.0,1.0,0.6,24554,15405,12199,3050
RE2-OB,emailservice,loss,3,early_window,0.5,0.0,1.0,1.0,0.6,24554,18455,12199,6100
RE2-OB,emailservice,loss,3,early_window,1.0,0.0,1.0,1.0,0.6,24554,24554,12199,12199
RE2-OB,emailservice,loss,3,late_window,0.1,0.0,0.0,1.0,0.4,24554,13575,12199,1220
RE2-OB,emailservice,loss,3,late_window,0.25,0.0,1.0,1.0,0.6,24554,15405,12199,3050
RE2-OB,emailservice,loss,3,late_window,0.5,0.0,1.0,1.0,0.6,24554,18455,12199,6100
RE2-OB,emailservice,loss,3,late_window,1.0,0.0,1.0,1.0,0.6,24554,24554,12199,12199
RE2-OB,emailservice,mem,1,random,0.1,0.0,1.0,1.0,0.6,24544,13580,12182,1218
RE2-OB,emailservice,mem,1,random,0.25,0.0,1.0,1.0,0.6,24544,15408,12182,3046
RE2-OB,emailservice,mem,1,random,0.5,0.0,1.0,1.0,0.6,24544,18453,12182,6091
RE2-OB,emailservice,mem,1,random,1.0,0.0,1.0,1.0,0.6,24544,24544,12182,12182
RE2-OB,emailservice,mem,1,early_window,0.1,0.0,1.0,1.0,0.6,24544,13580,12182,1218
RE2-OB,emailservice,mem,1,early_window,0.25,0.0,1.0,1.0,0.6,24544,15408,12182,3046
RE2-OB,emailservice,mem,1,early_window,0.5,0.0,1.0,1.0,0.6,24544,18453,12182,6091
RE2-OB,emailservice,mem,1,early_window,1.0,0.0,1.0,1.0,0.6,24544,24544,12182,12182
RE2-OB,emailservice,mem,1,late_window,0.1,0.0,1.0,1.0,0.6,24544,13580,12182,1218
RE2-OB,emailservice,mem,1,late_window,0.25,0.0,1.0,1.0,0.6,24544,15408,12182,3046
RE2-OB,emailservice,mem,1,late_window,0.5,0.0,1.0,1.0,0.6,24544,18453,12182,6091
RE2-OB,emailservice,mem,1,late_window,1.0,0.0,1.0,1.0,0.6,24544,24544,12182,12182
RE2-OB,emailservice,mem,2,random,0.1,0.0,0.0,1.0,0.4,24620,13549,12301,1230
RE2-OB,emailservice,mem,2,random,0.25,0.0,0.0,1.0,0.4,24620,15394,12301,3075
RE2-OB,emailservice,mem,2,random,0.5,0.0,0.0,1.0,0.4,24620,18469,12301,6150
RE2-OB,emailservice,mem,2,random,1.0,0.0,0.0,1.0,0.4,24620,24620,12301,12301
RE2-OB,emailservice,mem,2,early_window,0.1,0.0,0.0,1.0,0.4,24620,13549,12301,1230
RE2-OB,emailservice,mem,2,early_window,0.25,0.0,0.0,1.0,0.4,24620,15394,12301,3075
RE2-OB,emailservice,mem,2,early_window,0.5,0.0,0.0,1.0,0.4,24620,18469,12301,6150
RE2-OB,emailservice,mem,2,early_window,1.0,0.0,0.0,1.0,0.4,24620,24620,12301,12301
RE2-OB,emailservice,mem,2,late_window,0.1,0.0,0.0,0.0,0.0,24620,13549,12301,1230
RE2-OB,emailservice,mem,2,late_window,0.25,0.0,0.0,1.0,0.4,24620,15394,12301,3075
RE2-OB,emailservice,mem,2,late_window,0.5,0.0,0.0,1.0,0.4,24620,18469,12301,6150
RE2-OB,emailservice,mem,2,late_window,1.0,0.0,0.0,1.0,0.4,24620,24620,12301,12301
RE2-OB,emailservice,mem,3,random,0.1,0.0,0.0,0.0,0.0,24367,13443,12138,1214
RE2-OB,emailservice,mem,3,random,0.25,0.0,0.0,1.0,0.4,24367,15263,12138,3034
RE2-OB,emailservice,mem,3,random,0.5,0.0,0.0,1.0,0.4,24367,18298,12138,6069
RE2-OB,emailservice,mem,3,random,1.0,0.0,0.0,1.0,0.4,24367,24367,12138,12138
RE2-OB,emailservice,mem,3,early_window,0.1,0.0,1.0,1.0,0.6,24367,13443,12138,1214
RE2-OB,emailservice,mem,3,early_window,0.25,0.0,0.0,1.0,0.4,24367,15263,12138,3034
RE2-OB,emailservice,mem,3,early_window,0.5,0.0,0.0,1.0,0.4,24367,18298,12138,6069
RE2-OB,emailservice,mem,3,early_window,1.0,0.0,0.0,1.0,0.4,24367,24367,12138,12138
RE2-OB,emailservice,mem,3,late_window,0.1,0.0,0.0,1.0,0.2,24367,13443,12138,1214
RE2-OB,emailservice,mem,3,late_window,0.25,0.0,0.0,1.0,0.4,24367,15263,12138,3034
RE2-OB,emailservice,mem,3,late_window,0.5,0.0,0.0,1.0,0.4,24367,18298,12138,6069
RE2-OB,emailservice,mem,3,late_window,1.0,0.0,0.0,1.0,0.4,24367,24367,12138,12138
RE2-OB,emailservice,socket,1,random,0.1,0.0,1.0,1.0,0.6,24861,13633,12476,1248
RE2-OB,emailservice,socket,1,random,0.25,0.0,1.0,1.0,0.6,24861,15504,12476,3119
RE2-OB,emailservice,socket,1,random,0.5,0.0,1.0,1.0,0.6,24861,18623,12476,6238
RE2-OB,emailservice,socket,1,random,1.0,0.0,1.0,1.0,0.6,24861,24861,12476,12476
RE2-OB,emailservice,socket,1,early_window,0.1,0.0,1.0,1.0,0.8,24861,13633,12476,1248
RE2-OB,emailservice,socket,1,early_window,0.25,0.0,1.0,1.0,0.6,24861,15504,12476,3119
RE2-OB,emailservice,socket,1,early_window,0.5,0.0,1.0,1.0,0.6,24861,18623,12476,6238
RE2-OB,emailservice,socket,1,early_window,1.0,0.0,1.0,1.0,0.6,24861,24861,12476,12476
RE2-OB,emailservice,socket,1,late_window,0.1,0.0,0.0,1.0,0.4,24861,13633,12476,1248
RE2-OB,emailservice,socket,1,late_window,0.25,0.0,0.0,1.0,0.4,24861,15504,12476,3119
RE2-OB,emailservice,socket,1,late_window,0.5,0.0,0.0,0.0,0.0,24861,18623,12476,6238
RE2-OB,emailservice,socket,1,late_window,1.0,0.0,1.0,1.0,0.6,24861,24861,12476,12476
RE2-OB,emailservice,socket,2,random,0.1,0.0,1.0,1.0,0.6,25065,13609,12729,1273
RE2-OB,emailservice,socket,2,random,0.25,0.0,1.0,1.0,0.6,25065,15518,12729,3182
RE2-OB,emailservice,socket,2,random,0.5,0.0,1.0,1.0,0.6,25065,18700,12729,6364
RE2-OB,emailservice,socket,2,random,1.0,0.0,1.0,1.0,0.6,25065,25065,12729,12729
RE2-OB,emailservice,socket,2,early_window,0.1,0.0,1.0,1.0,0.6,25065,13609,12729,1273
RE2-OB,emailservice,socket,2,early_window,0.25,0.0,1.0,1.0,0.6,25065,15518,12729,3182
RE2-OB,emailservice,socket,2,early_window,0.5,0.0,1.0,1.0,0.6,25065,18700,12729,6364
RE2-OB,emailservice,socket,2,early_window,1.0,0.0,1.0,1.0,0.6,25065,25065,12729,12729
RE2-OB,emailservice,socket,2,late_window,0.1,0.0,0.0,1.0,0.2,25065,13609,12729,1273
RE2-OB,emailservice,socket,2,late_window,0.25,0.0,1.0,1.0,0.8,25065,15518,12729,3182
RE2-OB,emailservice,socket,2,late_window,0.5,0.0,1.0,1.0,0.6,25065,18700,12729,6364
RE2-OB,emailservice,socket,2,late_window,1.0,0.0,1.0,1.0,0.6,25065,25065,12729,12729
RE2-OB,emailservice,socket,3,random,0.1,0.0,0.0,0.0,0.0,24698,13607,12323,1232
RE2-OB,emailservice,socket,3,random,0.25,0.0,0.0,1.0,0.4,24698,15456,12323,3081
RE2-OB,emailservice,socket,3,random,0.5,0.0,1.0,1.0,0.6,24698,18537,12323,6162
RE2-OB,emailservice,socket,3,random,1.0,0.0,1.0,1.0,0.6,24698,24698,12323,12323
RE2-OB,emailservice,socket,3,early_window,0.1,0.0,1.0,1.0,0.6,24698,13607,12323,1232
RE2-OB,emailservice,socket,3,early_window,0.25,0.0,1.0,1.0,0.6,24698,15456,12323,3081
RE2-OB,emailservice,socket,3,early_window,0.5,0.0,0.0,1.0,0.4,24698,18537,12323,6162
RE2-OB,emailservice,socket,3,early_window,1.0,0.0,1.0,1.0,0.6,24698,24698,12323,12323
RE2-OB,emailservice,socket,3,late_window,0.1,0.0,0.0,1.0,0.2,24698,13607,12323,1232
RE2-OB,emailservice,socket,3,late_window,0.25,0.0,1.0,1.0,0.8,24698,15456,12323,3081
RE2-OB,emailservice,socket,3,late_window,0.5,0.0,1.0,1.0,0.6,24698,18537,12323,6162
RE2-OB,emailservice,socket,3,late_window,1.0,0.0,1.0,1.0,0.6,24698,24698,12323,12323
RE2-OB,productcatalogservice,cpu,1,random,0.1,0.0,0.0,1.0,0.2,24014,13301,11903,1190
RE2-OB,productcatalogservice,cpu,1,random,0.25,0.0,0.0,1.0,0.2,24014,15087,11903,2976
RE2-OB,productcatalogservice,cpu,1,random,0.5,0.0,0.0,1.0,0.2,24014,18063,11903,5952
RE2-OB,productcatalogservice,cpu,1,random,1.0,0.0,0.0,1.0,0.2,24014,24014,11903,11903
RE2-OB,productcatalogservice,cpu,1,early_window,0.1,0.0,0.0,1.0,0.2,24014,13301,11903,1190
RE2-OB,productcatalogservice,cpu,1,early_window,0.25,0.0,0.0,1.0,0.2,24014,15087,11903,2976
RE2-OB,productcatalogservice,cpu,1,early_window,0.5,0.0,0.0,1.0,0.2,24014,18063,11903,5952
RE2-OB,productcatalogservice,cpu,1,early_window,1.0,0.0,0.0,1.0,0.2,24014,24014,11903,11903
RE2-OB,productcatalogservice,cpu,1,late_window,0.1,0.0,0.0,1.0,0.2,24014,13301,11903,1190
RE2-OB,productcatalogservice,cpu,1,late_window,0.25,0.0,0.0,1.0,0.2,24014,15087,11903,2976
RE2-OB,productcatalogservice,cpu,1,late_window,0.5,0.0,0.0,1.0,0.2,24014,18063,11903,5952
RE2-OB,productcatalogservice,cpu,1,late_window,1.0,0.0,0.0,1.0,0.2,24014,24014,11903,11903
RE2-OB,productcatalogservice,cpu,2,random,0.1,0.0,0.0,1.0,0.4,24275,13498,11975,1198
RE2-OB,productcatalogservice,cpu,2,random,0.25,0.0,0.0,1.0,0.4,24275,15294,11975,2994
RE2-OB,productcatalogservice,cpu,2,random,0.5,0.0,0.0,1.0,0.4,24275,18288,11975,5988
RE2-OB,productcatalogservice,cpu,2,random,1.0,0.0,0.0,1.0,0.4,24275,24275,11975,11975
RE2-OB,productcatalogservice,cpu,2,early_window,0.1,0.0,0.0,1.0,0.4,24275,13498,11975,1198
RE2-OB,productcatalogservice,cpu,2,early_window,0.25,0.0,0.0,1.0,0.4,24275,15294,11975,2994
RE2-OB,productcatalogservice,cpu,2,early_window,0.5,0.0,0.0,1.0,0.4,24275,18288,11975,5988
RE2-OB,productcatalogservice,cpu,2,early_window,1.0,0.0,0.0,1.0,0.4,24275,24275,11975,11975
RE2-OB,productcatalogservice,cpu,2,late_window,0.1,0.0,0.0,1.0,0.4,24275,13498,11975,1198
RE2-OB,productcatalogservice,cpu,2,late_window,0.25,0.0,0.0,1.0,0.4,24275,15294,11975,2994
RE2-OB,productcatalogservice,cpu,2,late_window,0.5,0.0,0.0,1.0,0.4,24275,18288,11975,5988
RE2-OB,productcatalogservice,cpu,2,late_window,1.0,0.0,0.0,1.0,0.4,24275,24275,11975,11975
RE2-OB,productcatalogservice,cpu,3,random,0.1,0.0,0.0,1.0,0.4,24613,13670,12159,1216
RE2-OB,productcatalogservice,cpu,3,random,0.25,0.0,0.0,1.0,0.4,24613,15494,12159,3040
RE2-OB,productcatalogservice,cpu,3,random,0.5,0.0,0.0,1.0,0.4,24613,18534,12159,6080
RE2-OB,productcatalogservice,cpu,3,random,1.0,0.0,0.0,1.0,0.4,24613,24613,12159,12159
RE2-OB,productcatalogservice,cpu,3,early_window,0.1,0.0,0.0,1.0,0.4,24613,13670,12159,1216
RE2-OB,productcatalogservice,cpu,3,early_window,0.25,0.0,0.0,1.0,0.4,24613,15494,12159,3040
RE2-OB,productcatalogservice,cpu,3,early_window,0.5,0.0,0.0,1.0,0.4,24613,18534,12159,6080
RE2-OB,productcatalogservice,cpu,3,early_window,1.0,0.0,0.0,1.0,0.4,24613,24613,12159,12159
RE2-OB,productcatalogservice,cpu,3,late_window,0.1,0.0,0.0,1.0,0.4,24613,13670,12159,1216
RE2-OB,productcatalogservice,cpu,3,late_window,0.25,0.0,0.0,1.0,0.4,24613,15494,12159,3040
RE2-OB,productcatalogservice,cpu,3,late_window,0.5,0.0,0.0,1.0,0.4,24613,18534,12159,6080
RE2-OB,productcatalogservice,cpu,3,late_window,1.0,0.0,0.0,1.0,0.4,24613,24613,12159,12159
RE2-OB,productcatalogservice,delay,1,random,0.1,0.0,0.0,1.0,0.4,22537,13628,9899,990
RE2-OB,productcatalogservice,delay,1,random,0.25,0.0,0.0,1.0,0.4,22537,15113,9899,2475
RE2-OB,productcatalogservice,delay,1,random,0.5,0.0,0.0,1.0,0.4,22537,17588,9899,4950
RE2-OB,productcatalogservice,delay,1,random,1.0,0.0,0.0,1.0,0.4,22537,22537,9899,9899
RE2-OB,productcatalogservice,delay,1,early_window,0.1,0.0,0.0,1.0,0.4,22537,13628,9899,990
RE2-OB,productcatalogservice,delay,1,early_window,0.25,0.0,0.0,1.0,0.4,22537,15113,9899,2475
RE2-OB,productcatalogservice,delay,1,early_window,0.5,0.0,0.0,1.0,0.4,22537,17588,9899,4950
RE2-OB,productcatalogservice,delay,1,early_window,1.0,0.0,0.0,1.0,0.4,22537,22537,9899,9899
RE2-OB,productcatalogservice,delay,1,late_window,0.1,0.0,0.0,1.0,0.4,22537,13628,9899,990
RE2-OB,productcatalogservice,delay,1,late_window,0.25,0.0,0.0,1.0,0.4,22537,15113,9899,2475
RE2-OB,productcatalogservice,delay,1,late_window,0.5,0.0,0.0,1.0,0.4,22537,17588,9899,4950
RE2-OB,productcatalogservice,delay,1,late_window,1.0,0.0,0.0,1.0,0.4,22537,22537,9899,9899
RE2-OB,productcatalogservice,delay,2,random,0.1,0.0,0.0,1.0,0.4,22523,13416,10119,1012
RE2-OB,productcatalogservice,delay,2,random,0.25,0.0,0.0,1.0,0.4,22523,14934,10119,2530
RE2-OB,productcatalogservice,delay,2,random,0.5,0.0,0.0,1.0,0.4,22523,17464,10119,5060
RE2-OB,productcatalogservice,delay,2,random,1.0,0.0,0.0,1.0,0.4,22523,22523,10119,10119
RE2-OB,productcatalogservice,delay,2,early_window,0.1,0.0,0.0,1.0,0.4,22523,13416,10119,1012
RE2-OB,productcatalogservice,delay,2,early_window,0.25,0.0,0.0,1.0,0.4,22523,14934,10119,2530
RE2-OB,productcatalogservice,delay,2,early_window,0.5,0.0,0.0,1.0,0.4,22523,17464,10119,5060
RE2-OB,productcatalogservice,delay,2,early_window,1.0,0.0,0.0,1.0,0.4,22523,22523,10119,10119
RE2-OB,productcatalogservice,delay,2,late_window,0.1,0.0,0.0,1.0,0.4,22523,13416,10119,1012
RE2-OB,productcatalogservice,delay,2,late_window,0.25,0.0,0.0,1.0,0.4,22523,14934,10119,2530
RE2-OB,productcatalogservice,delay,2,late_window,0.5,0.0,0.0,1.0,0.4,22523,17464,10119,5060
RE2-OB,productcatalogservice,delay,2,late_window,1.0,0.0,0.0,1.0,0.4,22523,22523,10119,10119
RE2-OB,productcatalogservice,delay,3,random,0.1,0.0,0.0,1.0,0.4,22516,13566,9944,994
RE2-OB,productcatalogservice,delay,3,random,0.25,0.0,0.0,1.0,0.4,22516,15058,9944,2486
RE2-OB,productcatalogservice,delay,3,random,0.5,0.0,0.0,1.0,0.4,22516,17544,9944,4972
RE2-OB,productcatalogservice,delay,3,random,1.0,0.0,0.0,1.0,0.4,22516,22516,9944,9944
RE2-OB,productcatalogservice,delay,3,early_window,0.1,0.0,0.0,1.0,0.4,22516,13566,9944,994
RE2-OB,productcatalogservice,delay,3,early_window,0.25,0.0,0.0,1.0,0.4,22516,15058,9944,2486
RE2-OB,productcatalogservice,delay,3,early_window,0.5,0.0,0.0,1.0,0.4,22516,17544,9944,4972
RE2-OB,productcatalogservice,delay,3,early_window,1.0,0.0,0.0,1.0,0.4,22516,22516,9944,9944
RE2-OB,productcatalogservice,delay,3,late_window,0.1,0.0,0.0,1.0,0.4,22516,13566,9944,994
RE2-OB,productcatalogservice,delay,3,late_window,0.25,0.0,0.0,1.0,0.4,22516,15058,9944,2486
RE2-OB,productcatalogservice,delay,3,late_window,0.5,0.0,0.0,1.0,0.4,22516,17544,9944,4972
RE2-OB,productcatalogservice,delay,3,late_window,1.0,0.0,0.0,1.0,0.4,22516,22516,9944,9944
RE2-OB,productcatalogservice,disk,1,random,0.1,0.0,0.0,1.0,0.4,23493,12958,11706,1171
RE2-OB,productcatalogservice,disk,1,random,0.25,0.0,0.0,1.0,0.4,23493,14713,11706,2926
RE2-OB,productcatalogservice,disk,1,random,0.5,0.0,0.0,1.0,0.4,23493,17640,11706,5853
RE2-OB,productcatalogservice,disk,1,random,1.0,0.0,0.0,1.0,0.4,23493,23493,11706,11706
RE2-OB,productcatalogservice,disk,1,early_window,0.1,0.0,0.0,1.0,0.4,23493,12958,11706,1171
RE2-OB,productcatalogservice,disk,1,early_window,0.25,0.0,0.0,1.0,0.4,23493,14713,11706,2926
RE2-OB,productcatalogservice,disk,1,early_window,0.5,0.0,0.0,1.0,0.4,23493,17640,11706,5853
RE2-OB,productcatalogservice,disk,1,early_window,1.0,0.0,0.0,1.0,0.4,23493,23493,11706,11706
RE2-OB,productcatalogservice,disk,1,late_window,0.1,0.0,0.0,1.0,0.4,23493,12958,11706,1171
RE2-OB,productcatalogservice,disk,1,late_window,0.25,0.0,0.0,1.0,0.4,23493,14713,11706,2926
RE2-OB,productcatalogservice,disk,1,late_window,0.5,0.0,0.0,1.0,0.4,23493,17640,11706,5853
RE2-OB,productcatalogservice,disk,1,late_window,1.0,0.0,0.0,1.0,0.4,23493,23493,11706,11706
RE2-OB,productcatalogservice,loss,1,random,0.1,0.0,0.0,1.0,0.4,17167,12358,5343,534
RE2-OB,productcatalogservice,loss,1,random,0.25,0.0,0.0,1.0,0.2,17167,13160,5343,1336
RE2-OB,productcatalogservice,loss,1,random,0.5,0.0,0.0,1.0,0.2,17167,14496,5343,2672
RE2-OB,productcatalogservice,loss,1,random,1.0,0.0,0.0,1.0,0.2,17167,17167,5343,5343
RE2-OB,productcatalogservice,loss,1,early_window,0.1,0.0,0.0,1.0,0.4,17167,12358,5343,534
RE2-OB,productcatalogservice,loss,1,early_window,0.25,0.0,0.0,1.0,0.2,17167,13160,5343,1336
RE2-OB,productcatalogservice,loss,1,early_window,0.5,0.0,0.0,1.0,0.2,17167,14496,5343,2672
RE2-OB,productcatalogservice,loss,1,early_window,1.0,0.0,0.0,1.0,0.2,17167,17167,5343,5343
RE2-OB,productcatalogservice,loss,1,late_window,0.1,0.0,0.0,1.0,0.4,17167,12358,5343,534
RE2-OB,productcatalogservice,loss,1,late_window,0.25,0.0,0.0,1.0,0.4,17167,13160,5343,1336
RE2-OB,productcatalogservice,loss,1,late_window,0.5,0.0,0.0,1.0,0.4,17167,14496,5343,2672
RE2-OB,productcatalogservice,loss,1,late_window,1.0,0.0,0.0,1.0,0.2,17167,17167,5343,5343
RE2-OB,productcatalogservice,disk,2,random,0.1,0.0,0.0,1.0,0.4,24437,13789,11831,1183
RE2-OB,productcatalogservice,disk,2,random,0.25,0.0,0.0,1.0,0.4,24437,15564,11831,2958
RE2-OB,productcatalogservice,disk,2,random,0.5,0.0,0.0,1.0,0.4,24437,18522,11831,5916
RE2-OB,productcatalogservice,disk,2,random,1.0,0.0,0.0,1.0,0.4,24437,24437,11831,11831
RE2-OB,productcatalogservice,disk,2,early_window,0.1,0.0,0.0,1.0,0.4,24437,13789,11831,1183
RE2-OB,productcatalogservice,disk,2,early_window,0.25,0.0,0.0,1.0,0.4,24437,15564,11831,2958
RE2-OB,productcatalogservice,disk,2,early_window,0.5,0.0,0.0,1.0,0.4,24437,18522,11831,5916
RE2-OB,productcatalogservice,disk,2,early_window,1.0,0.0,0.0,1.0,0.4,24437,24437,11831,11831
RE2-OB,productcatalogservice,disk,2,late_window,0.1,0.0,0.0,1.0,0.4,24437,13789,11831,1183
RE2-OB,productcatalogservice,disk,2,late_window,0.25,0.0,0.0,1.0,0.4,24437,15564,11831,2958
RE2-OB,productcatalogservice,disk,2,late_window,0.5,0.0,0.0,1.0,0.4,24437,18522,11831,5916
RE2-OB,productcatalogservice,disk,2,late_window,1.0,0.0,0.0,1.0,0.4,24437,24437,11831,11831
RE2-OB,productcatalogservice,disk,3,random,0.1,0.0,0.0,1.0,0.4,24420,13536,12093,1209
RE2-OB,productcatalogservice,disk,3,random,0.25,0.0,0.0,1.0,0.4,24420,15350,12093,3023
RE2-OB,productcatalogservice,disk,3,random,0.5,0.0,0.0,1.0,0.4,24420,18373,12093,6046
RE2-OB,productcatalogservice,disk,3,random,1.0,0.0,0.0,1.0,0.4,24420,24420,12093,12093
RE2-OB,productcatalogservice,disk,3,early_window,0.1,0.0,0.0,1.0,0.4,24420,13536,12093,1209
RE2-OB,productcatalogservice,disk,3,early_window,0.25,0.0,0.0,1.0,0.4,24420,15350,12093,3023
RE2-OB,productcatalogservice,disk,3,early_window,0.5,0.0,0.0,1.0,0.4,24420,18373,12093,6046
RE2-OB,productcatalogservice,disk,3,early_window,1.0,0.0,0.0,1.0,0.4,24420,24420,12093,12093
RE2-OB,productcatalogservice,disk,3,late_window,0.1,0.0,0.0,1.0,0.4,24420,13536,12093,1209
RE2-OB,productcatalogservice,disk,3,late_window,0.25,0.0,0.0,1.0,0.4,24420,15350,12093,3023
RE2-OB,productcatalogservice,disk,3,late_window,0.5,0.0,0.0,1.0,0.4,24420,18373,12093,6046
RE2-OB,productcatalogservice,disk,3,late_window,1.0,0.0,0.0,1.0,0.4,24420,24420,12093,12093
RE2-OB,productcatalogservice,loss,2,random,0.1,0.0,0.0,1.0,0.4,17364,12858,5007,501
RE2-OB,productcatalogservice,loss,2,random,0.25,0.0,0.0,1.0,0.4,17364,13609,5007,1252
RE2-OB,productcatalogservice,loss,2,random,0.5,0.0,0.0,1.0,0.4,17364,14861,5007,2504
RE2-OB,productcatalogservice,loss,2,random,1.0,0.0,0.0,1.0,0.4,17364,17364,5007,5007
RE2-OB,productcatalogservice,loss,2,early_window,0.1,0.0,1.0,1.0,0.6,17364,12858,5007,501
RE2-OB,productcatalogservice,loss,2,early_window,0.25,0.0,0.0,1.0,0.4,17364,13609,5007,1252
RE2-OB,productcatalogservice,loss,2,early_window,0.5,0.0,0.0,1.0,0.4,17364,14861,5007,2504
RE2-OB,productcatalogservice,loss,2,early_window,1.0,0.0,0.0,1.0,0.4,17364,17364,5007,5007
RE2-OB,productcatalogservice,loss,2,late_window,0.1,0.0,1.0,1.0,0.6,17364,12858,5007,501
RE2-OB,productcatalogservice,loss,2,late_window,0.25,0.0,0.0,1.0,0.4,17364,13609,5007,1252
RE2-OB,productcatalogservice,loss,2,late_window,0.5,0.0,0.0,1.0,0.4,17364,14861,5007,2504
RE2-OB,productcatalogservice,loss,2,late_window,1.0,0.0,0.0,1.0,0.4,17364,17364,5007,5007
RE2-OB,productcatalogservice,loss,3,random,0.1,0.0,0.0,1.0,0.4,21000,13409,8435,844
RE2-OB,productcatalogservice,loss,3,random,0.25,0.0,0.0,1.0,0.4,21000,14674,8435,2109
RE2-OB,productcatalogservice,loss,3,random,0.5,0.0,0.0,1.0,0.4,21000,16783,8435,4218
RE2-OB,productcatalogservice,loss,3,random,1.0,0.0,0.0,1.0,0.4,21000,21000,8435,8435
RE2-OB,productcatalogservice,loss,3,early_window,0.1,0.0,1.0,1.0,0.6,21000,13409,8435,844
RE2-OB,productcatalogservice,loss,3,early_window,0.25,0.0,0.0,1.0,0.4,21000,14674,8435,2109
RE2-OB,productcatalogservice,loss,3,early_window,0.5,0.0,0.0,1.0,0.4,21000,16783,8435,4218
RE2-OB,productcatalogservice,loss,3,early_window,1.0,0.0,0.0,1.0,0.4,21000,21000,8435,8435
RE2-OB,productcatalogservice,loss,3,late_window,0.1,0.0,1.0,1.0,0.6,21000,13409,8435,844
RE2-OB,productcatalogservice,loss,3,late_window,0.25,0.0,0.0,1.0,0.4,21000,14674,8435,2109
RE2-OB,productcatalogservice,loss,3,late_window,0.5,0.0,0.0,1.0,0.4,21000,16783,8435,4218
RE2-OB,productcatalogservice,loss,3,late_window,1.0,0.0,0.0,1.0,0.4,21000,21000,8435,8435
RE2-OB,productcatalogservice,mem,1,random,0.1,0.0,0.0,1.0,0.4,19936,12671,8072,807
RE2-OB,productcatalogservice,mem,1,random,0.25,0.0,0.0,1.0,0.4,19936,13882,8072,2018
RE2-OB,productcatalogservice,mem,1,random,0.5,0.0,0.0,1.0,0.4,19936,15900,8072,4036
RE2-OB,productcatalogservice,mem,1,random,1.0,0.0,0.0,1.0,0.4,19936,19936,8072,8072
RE2-OB,productcatalogservice,mem,1,early_window,0.1,0.0,0.0,1.0,0.4,19936,12671,8072,807
