dataset,service,fault,instance,policy,budget,top1,top3,top5,avg5,full_trace_count,kept_trace_count,full_anomalous_trace_count,kept_anomalous_trace_count
RE2-OB,checkoutservice,delay,2,late_window,0.25,1.0,1.0,1.0,1.0,24318,15302,12022,3006
RE2-OB,checkoutservice,delay,2,late_window,0.5,1.0,1.0,1.0,1.0,24318,18307,12022,6011
RE2-OB,checkoutservice,delay,2,late_window,1.0,1.0,1.0,1.0,1.0,24318,24318,12022,12022
RE2-OB,checkoutservice,delay,3,random,0.1,1.0,1.0,1.0,1.0,24620,13571,12277,1228
RE2-OB,checkoutservice,delay,3,random,0.25,1.0,1.0,1.0,1.0,24620,15412,12277,3069
RE2-OB,checkoutservice,delay,3,random,0.5,1.0,1.0,1.0,1.0,24620,18481,12277,6138
RE2-OB,checkoutservice,delay,3,random,1.0,1.0,1.0,1.0,1.0,24620,24620,12277,12277
RE2-OB,checkoutservice,delay,3,early_window,0.1,1.0,1.0,1.0,1.0,24620,13571,12277,1228
RE2-OB,checkoutservice,delay,3,early_window,0.25,1.0,1.0,1.0,1.0,24620,15412,12277,3069
RE2-OB,checkoutservice,delay,3,early_window,0.5,1.0,1.0,1.0,1.0,24620,18481,12277,6138
RE2-OB,checkoutservice,delay,3,early_window,1.0,1.0,1.0,1.0,1.0,24620,24620,12277,12277
RE2-OB,checkoutservice,delay,3,late_window,0.1,1.0,1.0,1.0,1.0,24620,13571,12277,1228
RE2-OB,checkoutservice,delay,3,late_window,0.25,1.0,1.0,1.0,1.0,24620,15412,12277,3069
RE2-OB,checkoutservice,delay,3,late_window,0.5,1.0,1.0,1.0,1.0,24620,18481,12277,6138
RE2-OB,checkoutservice,delay,3,late_window,1.0,1.0,1.0,1.0,1.0,24620,24620,12277,12277
RE2-OB,checkoutservice,disk,1,random,0.1,1.0,1.0,1.0,1.0,23869,13076,11992,1199
RE2-OB,checkoutservice,disk,1,random,0.25,1.0,1.0,1.0,1.0,23869,14875,11992,2998
RE2-OB,checkoutservice,disk,1,random,0.5,1.0,1.0,1.0,1.0,23869,17873,11992,5996
RE2-OB,checkoutservice,disk,1,random,1.0,1.0,1.0,1.0,1.0,23869,23869,11992,11992
RE2-OB,checkoutservice,disk,1,early_window,0.1,1.0,1.0,1.0,1.0,23869,13076,11992,1199
RE2-OB,checkoutservice,disk,1,early_window,0.25,1.0,1.0,1.0,1.0,23869,14875,11992,2998
RE2-OB,checkoutservice,disk,1,early_window,0.5,1.0,1.0,1.0,1.0,23869,17873,11992,5996
RE2-OB,checkoutservice,disk,1,early_window,1.0,1.0,1.0,1.0,1.0,23869,23869,11992,11992
RE2-OB,checkoutservice,disk,1,late_window,0.1,1.0,1.0,1.0,1.0,23869,13076,11992,1199
RE2-OB,checkoutservice,disk,1,late_window,0.25,1.0,1.0,1.0,1.0,23869,14875,11992,2998
RE2-OB,checkoutservice,disk,1,late_window,0.5,1.0,1.0,1.0,1.0,23869,17873,11992,5996
RE2-OB,checkoutservice,disk,1,late_window,1.0,1.0,1.0,1.0,1.0,23869,23869,11992,11992
RE2-OB,checkoutservice,disk,2,random,0.1,1.0,1.0,1.0,1.0,24997,13848,12388,1239
RE2-OB,checkoutservice,disk,2,random,0.25,1.0,1.0,1.0,1.0,24997,15706,12388,3097
RE2-OB,checkoutservice,disk,2,random,0.5,1.0,1.0,1.0,1.0,24997,18803,12388,6194
RE2-OB,checkoutservice,disk,2,random,1.0,1.0,1.0,1.0,1.0,24997,24997,12388,12388
RE2-OB,checkoutservice,disk,2,early_window,0.1,1.0,1.0,1.0,1.0,24997,13848,12388,1239
RE2-OB,checkoutservice,disk,2,early_window,0.25,1.0,1.0,1.0,1.0,24997,15706,12388,3097
RE2-OB,checkoutservice,disk,2,early_window,0.5,1.0,1.0,1.0,1.0,24997,18803,12388,6194
RE2-OB,checkoutservice,disk,2,early_window,1.0,1.0,1.0,1.0,1.0,24997,24997,12388,12388
RE2-OB,checkoutservice,disk,2,late_window,0.1,1.0,1.0,1.0,1.0,24997,13848,12388,1239
RE2-OB,checkoutservice,disk,2,late_window,0.25,1.0,1.0,1.0,1.0,24997,15706,12388,3097
RE2-OB,checkoutservice,disk,2,late_window,0.5,1.0,1.0,1.0,1.0,24997,18803,12388,6194
RE2-OB,checkoutservice,disk,2,late_window,1.0,1.0,1.0,1.0,1.0,24997,24997,12388,12388
RE2-OB,checkoutservice,disk,3,random,0.1,1.0,1.0,1.0,1.0,24858,13737,12357,1236
RE2-OB,checkoutservice,disk,3,random,0.25,1.0,1.0,1.0,1.0,24858,15590,12357,3089
RE2-OB,checkoutservice,disk,3,random,0.5,1.0,1.0,1.0,1.0,24858,18679,12357,6178
RE2-OB,checkoutservice,disk,3,random,1.0,1.0,1.0,1.0,1.0,24858,24858,12357,12357
RE2-OB,checkoutservice,disk,3,early_window,0.1,1.0,1.0,1.0,1.0,24858,13737,12357,1236
RE2-OB,checkoutservice,disk,3,early_window,0.25,1.0,1.0,1.0,1.0,24858,15590,12357,3089
RE2-OB,checkoutservice,disk,3,early_window,0.5,1.0,1.0,1.0,1.0,24858,18679,12357,6178
RE2-OB,checkoutservice,disk,3,early_window,1.0,1.0,1.0,1.0,1.0,24858,24858,12357,12357
RE2-OB,checkoutservice,disk,3,late_window,0.1,1.0,1.0,1.0,1.0,24858,13737,12357,1236
RE2-OB,checkoutservice,disk,3,late_window,0.25,1.0,1.0,1.0,1.0,24858,15590,12357,3089
RE2-OB,checkoutservice,disk,3,late_window,0.5,1.0,1.0,1.0,1.0,24858,18679,12357,6178
RE2-OB,checkoutservice,disk,3,late_window,1.0,1.0,1.0,1.0,1.0,24858,24858,12357,12357
RE2-OB,checkoutservice,loss,1,random,0.1,1.0,1.0,1.0,1.0,23471,13290,11312,1131
RE2-OB,checkoutservice,loss,1,random,0.25,1.0,1.0,1.0,1.0,23471,14987,11312,2828
RE2-OB,checkoutservice,loss,1,random,0.5,1.0,1.0,1.0,1.0,23471,17815,11312,5656
RE2-OB,checkoutservice,loss,1,random,1.0,1.0,1.0,1.0,1.0,23471,23471,11312,11312
RE2-OB,checkoutservice,loss,1,early_window,0.1,1.0,1.0,1.0,1.0,23471,13290,11312,1131
RE2-OB,checkoutservice,loss,1,early_window,0.25,1.0,1.0,1.0,1.0,23471,14987,11312,2828
RE2-OB,checkoutservice,loss,1,early_window,0.5,1.0,1.0,1.0,1.0,23471,17815,11312,5656
RE2-OB,checkoutservice,loss,1,early_window,1.0,1.0,1.0,1.0,1.0,23471,23471,11312,11312
RE2-OB,checkoutservice,loss,1,late_window,0.1,1.0,1.0,1.0,1.0,23471,13290,11312,1131
RE2-OB,checkoutservice,loss,1,late_window,0.25,1.0,1.0,1.0,1.0,23471,14987,11312,2828
RE2-OB,checkoutservice,loss,1,late_window,0.5,1.0,1.0,1.0,1.0,23471,17815,11312,5656
RE2-OB,checkoutservice,loss,1,late_window,1.0,1.0,1.0,1.0,1.0,23471,23471,11312,11312
RE2-OB,checkoutservice,loss,2,random,0.1,1.0,1.0,1.0,1.0,24557,13537,12244,1224
RE2-OB,checkoutservice,loss,2,random,0.25,0.0,1.0,1.0,0.8,24557,15374,12244,3061
RE2-OB,checkoutservice,loss,2,random,0.5,1.0,1.0,1.0,1.0,24557,18435,12244,6122
RE2-OB,checkoutservice,loss,2,random,1.0,0.0,1.0,1.0,0.8,24557,24557,12244,12244
RE2-OB,checkoutservice,loss,2,early_window,0.1,1.0,1.0,1.0,1.0,24557,13537,12244,1224
RE2-OB,checkoutservice,loss,2,early_window,0.25,1.0,1.0,1.0,1.0,24557,15374,12244,3061
RE2-OB,checkoutservice,loss,2,early_window,0.5,1.0,1.0,1.0,1.0,24557,18435,12244,6122
RE2-OB,checkoutservice,loss,2,early_window,1.0,0.0,1.0,1.0,0.8,24557,24557,12244,12244
RE2-OB,checkoutservice,loss,2,late_window,0.1,0.0,1.0,1.0,0.8,24557,13537,12244,1224
RE2-OB,checkoutservice,loss,2,late_window,0.25,1.0,1.0,1.0,1.0,24557,15374,12244,3061
RE2-OB,checkoutservice,loss,2,late_window,0.5,0.0,1.0,1.0,0.8,24557,18435,12244,6122
RE2-OB,checkoutservice,loss,2,late_window,1.0,0.0,1.0,1.0,0.8,24557,24557,12244,12244
RE2-OB,checkoutservice,loss,3,random,0.1,0.0,1.0,1.0,0.8,24469,13641,12031,1203
RE2-OB,checkoutservice,loss,3,random,0.25,0.0,1.0,1.0,0.8,24469,15446,12031,3008
RE2-OB,checkoutservice,loss,3,random,0.5,0.0,1.0,1.0,0.8,24469,18454,12031,6016
RE2-OB,checkoutservice,loss,3,random,1.0,0.0,1.0,1.0,0.8,24469,24469,12031,12031
RE2-OB,checkoutservice,loss,3,early_window,0.1,1.0,1.0,1.0,1.0,24469,13641,12031,1203
RE2-OB,checkoutservice,loss,3,early_window,0.25,0.0,1.0,1.0,0.8,24469,15446,12031,3008
RE2-OB,checkoutservice,loss,3,early_window,0.5,0.0,1.0,1.0,0.8,24469,18454,12031,6016
RE2-OB,checkoutservice,loss,3,early_window,1.0,0.0,1.0,1.0,0.8,24469,24469,12031,12031
RE2-OB,checkoutservice,loss,3,late_window,0.1,1.0,1.0,1.0,1.0,24469,13641,12031,1203
RE2-OB,checkoutservice,loss,3,late_window,0.25,1.0,1.0,1.0,1.0,24469,15446,12031,3008
RE2-OB,checkoutservice,loss,3,late_window,0.5,1.0,1.0,1.0,1.0,24469,18454,12031,6016
RE2-OB,checkoutservice,loss,3,late_window,1.0,0.0,1.0,1.0,0.8,24469,24469,12031,12031
RE2-OB,checkoutservice,mem,1,random,0.1,0.0,1.0,1.0,0.8,24772,13695,12308,1231
RE2-OB,checkoutservice,mem,1,random,0.25,0.0,1.0,1.0,0.8,24772,15541,12308,3077
RE2-OB,checkoutservice,mem,1,random,0.5,0.0,1.0,1.0,0.8,24772,18618,12308,6154
RE2-OB,checkoutservice,mem,1,random,1.0,0.0,1.0,1.0,0.8,24772,24772,12308,12308
RE2-OB,checkoutservice,mem,1,early_window,0.1,1.0,1.0,1.0,1.0,24772,13695,12308,1231
RE2-OB,checkoutservice,mem,1,early_window,0.25,0.0,1.0,1.0,0.8,24772,15541,12308,3077
RE2-OB,checkoutservice,mem,1,early_window,0.5,0.0,1.0,1.0,0.8,24772,18618,12308,6154
