dataset,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-OB,0.05,2026,90,0.15555555555555556,0.6,0.9111111111111111,0.5888888888888889,0.4470965628688873,0.9499963634020686
RE2-OB,0.05,2027,90,0.13333333333333333,0.6111111111111112,0.9333333333333333,0.6,0.4470965628688873,0.9499963634020686
RE2-OB,0.05,2028,90,0.14444444444444443,0.6444444444444445,0.9555555555555556,0.6133333333333334,0.4470965628688873,0.9499963634020686
RE2-OB,0.05,2029,90,0.13333333333333333,0.6,0.9222222222222223,0.5844444444444444,0.4470965628688873,0.9499963634020686
RE2-OB,0.05,2030,90,0.15555555555555556,0.6444444444444445,0.9444444444444444,0.6155555555555555,0.4470965628688873,0.9499963634020686
RE2-OB,0.05,2031,90,0.16666666666666666,0.6666666666666666,0.9888888888888889,0.6488888888888888,0.4470965628688873,0.9499963634020686
RE2-OB,0.05,2032,90,0.18888888888888888,0.6222222222222222,0.9555555555555556,0.6266666666666667,0.4470965628688873,0.9499963634020686
RE2-OB,0.05,2033,90,0.15555555555555556,0.6333333333333333,0.9666666666666667,0.62,0.4470965628688873,0.9499963634020686
RE2-OB,0.05,2034,90,0.15555555555555556,0.6111111111111112,0.9555555555555556,0.6111111111111112,0.4470965628688873,0.9499963634020686
RE2-OB,0.05,2035,90,0.16666666666666666,0.6111111111111112,0.9333333333333333,0.6066666666666667,0.4470965628688873,0.9499963634020686
RE2-OB,0.1,2026,90,0.13333333333333333,0.6111111111111112,0.9555555555555556,0.6088888888888889,0.4235672304639589,0.8999987870487112
RE2-OB,0.1,2027,90,0.14444444444444443,0.6444444444444445,0.9333333333333333,0.62,0.4235672304639589,0.8999987870487112
RE2-OB,0.1,2028,90,0.13333333333333333,0.6555555555555556,0.9666666666666667,0.6266666666666667,0.4235672304639589,0.8999987870487112
RE2-OB,0.1,2029,90,0.14444444444444443,0.6333333333333333,0.9555555555555556,0.6222222222222222,0.4235672304639589,0.8999987870487112
RE2-OB,0.1,2030,90,0.14444444444444443,0.6111111111111112,0.9555555555555556,0.6177777777777778,0.4235672304639589,0.8999987870487112
RE2-OB,0.1,2031,90,0.15555555555555556,0.6222222222222222,0.9777777777777777,0.6244444444444445,0.4235672304639589,0.8999987870487112
RE2-OB,0.1,2032,90,0.13333333333333333,0.6555555555555556,0.9777777777777777,0.6288888888888889,0.4235672304639589,0.8999987870487112
RE2-OB,0.1,2033,90,0.15555555555555556,0.5666666666666667,0.9333333333333333,0.5866666666666667,0.4235672304639589,0.8999987870487112
RE2-OB,0.1,2034,90,0.12222222222222222,0.6333333333333333,0.9555555555555556,0.6177777777777778,0.4235672304639589,0.8999987870487112
RE2-OB,0.1,2035,90,0.15555555555555556,0.6111111111111112,0.9666666666666667,0.6155555555555555,0.4235672304639589,0.8999987870487112
RE2-OB,0.15,2026,90,0.16666666666666666,0.6444444444444445,0.9444444444444444,0.6266666666666667,0.40003302678968045,0.849990219419174
RE2-OB,0.15,2027,90,0.16666666666666666,0.6333333333333333,0.9444444444444444,0.6222222222222222,0.40003302678968045,0.849990219419174
RE2-OB,0.15,2028,90,0.12222222222222222,0.6222222222222222,0.9666666666666667,0.6177777777777778,0.40003302678968045,0.849990219419174
RE2-OB,0.15,2029,90,0.15555555555555556,0.6444444444444445,0.9777777777777777,0.6244444444444445,0.40003302678968045,0.849990219419174
RE2-OB,0.15,2030,90,0.15555555555555556,0.6333333333333333,0.9777777777777777,0.6288888888888889,0.40003302678968045,0.849990219419174
RE2-OB,0.15,2031,90,0.13333333333333333,0.6333333333333333,0.9777777777777777,0.6266666666666667,0.40003302678968045,0.849990219419174
RE2-OB,0.15,2032,90,0.14444444444444443,0.6333333333333333,0.9777777777777777,0.6222222222222222,0.40003302678968045,0.849990219419174
RE2-OB,0.15,2033,90,0.17777777777777778,0.6555555555555556,0.9666666666666667,0.6377777777777778,0.40003302678968045,0.849990219419174
RE2-OB,0.15,2034,90,0.12222222222222222,0.6333333333333333,0.9666666666666667,0.6111111111111112,0.40003302678968045,0.849990219419174
RE2-OB,0.15,2035,90,0.14444444444444443,0.6111111111111112,0.9444444444444444,0.6022222222222222,0.40003302678968045,0.849990219419174
RE2-OB,0.2,2026,90,0.15555555555555556,0.6555555555555556,0.9777777777777777,0.6333333333333333,0.3765027080410123,0.8000057523330605
RE2-OB,0.2,2027,90,0.12222222222222222,0.6111111111111112,0.9666666666666667,0.6155555555555555,0.3765027080410123,0.8000057523330605
RE2-OB,0.2,2028,90,0.13333333333333333,0.6555555555555556,0.9666666666666667,0.6177777777777778,0.3765027080410123,0.8000057523330605
RE2-OB,0.2,2029,90,0.13333333333333333,0.6333333333333333,0.9777777777777777,0.6244444444444445,0.3765027080410123,0.8000057523330605
RE2-OB,0.2,2030,90,0.13333333333333333,0.6555555555555556,0.9666666666666667,0.6266666666666667,0.3765027080410123,0.8000057523330605
RE2-OB,0.2,2031,90,0.13333333333333333,0.6111111111111112,0.9666666666666667,0.6177777777777778,0.3765027080410123,0.8000057523330605
RE2-OB,0.2,2032,90,0.15555555555555556,0.6555555555555556,0.9777777777777777,0.6355555555555555,0.3765027080410123,0.8000057523330605
RE2-OB,0.2,2033,90,0.15555555555555556,0.6333333333333333,0.9777777777777777,0.6311111111111112,0.3765027080410123,0.8000057523330605
RE2-OB,0.2,2034,90,0.12222222222222222,0.6222222222222222,0.9666666666666667,0.6177777777777778,0.3765027080410123,0.8000057523330605
RE2-OB,0.2,2035,90,0.12222222222222222,0.6555555555555556,0.9666666666666667,0.6244444444444445,0.3765027080410123,0.8000057523330605
RE2-OB,0.25,2026,90,0.13333333333333333,0.6444444444444445,0.9777777777777777,0.6266666666666667,0.35297034417073353,0.7500006186261609
RE2-OB,0.25,2027,90,0.16666666666666666,0.6555555555555556,0.9444444444444444,0.6266666666666667,0.35297034417073353,0.7500006186261609
RE2-OB,0.25,2028,90,0.14444444444444443,0.6555555555555556,0.9555555555555556,0.6266666666666667,0.35297034417073353,0.7500006186261609
RE2-OB,0.25,2029,90,0.15555555555555556,0.6444444444444445,0.9777777777777777,0.6288888888888889,0.35297034417073353,0.7500006186261609
