dataset,fault,full_budget_avg5_mean,target_95pct,min_budget_for_95pct_full,gain_05_to_full,gain_10_to_full
RE2-OB,socket,0.6933333333333334,0.6586666666666666,0.15,0.06266666666666665,0.04533333333333334
RE2-OB,disk,0.7066666666666667,0.6713333333333333,0.05,0.02400000000000002,0.014666666666666717
RE2-OB,delay,0.5733333333333334,0.5446666666666666,0.05,0.01333333333333342,0.016000000000000014
RE2-OB,mem,0.5866666666666667,0.5573333333333333,0.05,0.010666666666666602,0.008000000000000007
RE2-OB,cpu,0.6933333333333334,0.6586666666666666,0.05,-0.0013333333333334085,0.0
RE2-OB,loss,0.49333333333333335,0.4686666666666667,0.05,-0.032000000000000084,-0.03866666666666668
RE2-TT,disk,0.9200000000000002,0.8740000000000001,0.1,0.046666666666666745,0.022666666666666835
RE2-TT,loss,0.9333333333333333,0.8866666666666666,0.05,0.022666666666666613,0.008000000000000007
RE2-TT,cpu,0.9733333333333333,0.9246666666666665,0.05,0.0039999999999998925,0.0066666666666664876
RE2-TT,delay,1.0,0.95,0.05,0.0,0.0
RE2-TT,mem,0.9600000000000002,0.9120000000000001,0.05,-0.0066666666666663765,-0.009333333333333194
RE2-TT,socket,0.9466666666666667,0.8993333333333333,0.05,-0.00666666666666671,-0.002666666666666706
