dataset,budget,cases,top1,top3,top5,avg5
RE2-OB,0.1,90,0.15555555555555556,0.6222222222222222,0.9333333333333333,0.6133333333333334
RE2-OB,0.25,90,0.12222222222222222,0.6333333333333333,0.9555555555555556,0.6222222222222222
RE2-OB,0.5,90,0.12222222222222222,0.6444444444444445,0.9666666666666667,0.6266666666666667
RE2-OB,1.0,90,0.1111111111111111,0.6444444444444445,0.9666666666666667,0.6244444444444445
RE2-TT,0.1,90,0.8666666666666667,1.0,1.0,0.9733333333333333
RE2-TT,0.25,90,0.8666666666666667,1.0,1.0,0.9688888888888889
RE2-TT,0.5,90,0.8333333333333334,0.9888888888888889,1.0,0.9600000000000001
RE2-TT,1.0,90,0.8333333333333334,0.9888888888888889,1.0,0.9555555555555556
